,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,Jean-Gabriel Pageau\pageaje01,C,OTT,@,NJD,W,boxscore,3,0,3,4,2,3,0,0,1,0,0,0,3,100.0,28,19:27,0,1,7,3,70.0
2,Patrick Kane\kanepa01,RW,CHI,@,VEG,W,boxscore,1,2,3,2,0,1,0,0,0,2,0,0,4,25.0,24,19:14,0,0,0,0,
3,Dylan Strome\stromdy01,C,CHI,@,VEG,W,boxscore,1,2,3,2,0,1,0,0,0,2,0,0,2,50.0,22,15:16,1,1,4,7,36.4
4,Derick Brassard\brassde01,C,NYI,,TOR,W,boxscore,1,2,3,0,0,0,1,0,0,1,1,0,5,20.0,18,14:37,3,0,1,0,100.0
5,Joe Pavelski\paveljo01,C,DAL,@,CGY,W,boxscore,2,0,2,1,2,1,1,0,0,0,0,0,5,40.0,30,17:02,2,0,6,7,46.2
6,Anthony Beauvillier\beauvan01,LW,NYI,,TOR,W,boxscore,2,0,2,-2,0,1,1,0,0,0,0,0,5,40.0,22,17:03,1,1,0,0,
7,Kirby Dach\dachki01,C,CHI,@,VEG,W,boxscore,1,1,2,2,0,1,0,0,1,1,0,0,3,33.3,15,12:36,0,0,1,0,100.0
8,Mathew Barzal\barzama01,C,NYI,,TOR,W,boxscore,1,1,2,1,0,1,0,0,0,0,1,0,2,50.0,18,17:52,1,1,3,4,42.9
9,John Tavares\tavarjo01,C,TOR,@,NYI,L,boxscore,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,20,17:44,0,0,5,10,33.3
10,William Karlsson\karlswi01,C,VEG,,CHI,L,boxscore,1,1,2,-2,0,0,1,0,0,1,0,0,5,20.0,25,19:57,0,0,12,6,66.7
11,Connor Brown\brownco02,RW,OTT,@,NJD,W,boxscore,0,2,2,3,0,0,0,0,0,2,0,0,0,,28,21:17,0,0,1,0,100.0
12,Alex DeBrincat\debrial01,RW,CHI,@,VEG,W,boxscore,0,2,2,2,2,0,0,0,0,2,0,0,1,0.0,21,16:29,0,0,0,0,
13,Zack Smith\smithza01,C,CHI,@,VEG,W,boxscore,0,2,2,2,0,0,0,0,0,2,0,0,0,,15,11:13,1,0,3,1,75.0
14,Ryan Pulock\pulocry01,D,NYI,,TOR,W,boxscore,0,2,2,1,0,0,0,0,0,0,2,0,2,0.0,24,21:15,0,1,0,0,
15,Mark Borowiecki\borowma01,D,OTT,@,NJD,W,boxscore,1,0,1,2,2,1,0,0,0,0,0,0,2,50.0,26,19:27,3,1,0,0,
16,Calvin de Haan\dehaaca01,D,CHI,@,VEG,W,boxscore,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,27,21:40,4,3,0,0,
17,Erik Gustafsson\gustaer02,D,CHI,@,VEG,W,boxscore,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,23,19:23,4,0,0,0,
18,Justin Holl\hollju01,D,TOR,@,NYI,L,boxscore,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,22,15:58,2,0,0,0,
19,Casey Cizikas\cizikca01,C,NYI,,TOR,W,boxscore,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,20,16:47,5,1,11,5,68.8
20,Justin Dowling\dowliju01,C,DAL,@,CGY,W,boxscore,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,16,11:18,0,0,1,0,100.0
21,Kasperi Kapanen\kapanka01,RW,TOR,@,NYI,L,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,22,17:05,2,0,0,0,
22,Brendan Leipsic\leipsbr01,LW,WSH,@,PHI,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,12,7:04,0,0,0,0,
23,William Carrier\carriwi01,LW,VEG,,CHI,L,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,14,9:30,3,0,0,0,
24,Claude Giroux\giroucl01,C/RW,PHI,,WSH,L-SO,boxscore,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,31,22:00,0,0,12,12,50.0
25,William Nylander\nylanwi01,C,TOR,@,NYI,L,boxscore,1,0,1,0,2,1,0,0,0,0,0,0,2,50.0,23,18:22,0,0,0,2,0.0
26,Will Butcher\butchwi01,D,NJD,,OTT,L,boxscore,1,0,1,-1,0,1,0,0,0,0,0,0,1,100.0,26,24:55,0,1,0,0,
27,Sean Monahan\monahse01,C,CGY,,DAL,L,boxscore,1,0,1,-1,0,0,1,0,0,0,0,0,4,25.0,27,18:43,0,0,9,5,64.3
28,Wayne Simmonds\simmowa01,RW,NJD,,OTT,L,boxscore,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,18,16:38,3,1,0,1,0.0
29,Nate Schmidt\schmina01,D,VEG,,CHI,L,boxscore,1,0,1,-2,0,1,0,0,0,0,0,0,2,50.0,28,20:24,0,3,0,0,
30,Nick Paul\paulni01,LW,OTT,@,NJD,W,boxscore,0,1,1,3,0,0,0,0,0,1,0,0,3,0.0,26,19:20,2,0,6,1,85.7
31,Ryan Carpenter\carpery01,C,CHI,@,VEG,W,boxscore,0,1,1,2,0,0,0,0,0,1,0,0,0,,20,14:06,2,1,6,8,42.9
32,John Carlson\carlsjo01,D,WSH,@,PHI,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,27,25:52,1,1,0,0,
33,Cal Clutterbuck\cluttca01,RW,NYI,,TOR,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,0,,20,16:27,4,1,0,1,0.0
34,Travis Dermott\dermotr01,D,TOR,@,NYI,L,boxscore,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,20,14:14,1,0,0,0,
35,Nic Dowd\dowdni01,C,WSH,@,PHI,W,boxscore,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,12,7:07,0,0,4,4,50.0
36,Jordan Eberle\eberljo01,RW,NYI,,TOR,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,15:26,0,2,0,0,
37,Radek Faksa\faksara01,C,DAL,@,CGY,W,boxscore,0,1,1,1,4,0,0,0,0,1,0,0,0,,28,18:38,0,1,8,10,44.4
