,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,Jakub Vrana\vranaja01,LW,WSH,,CGY,W,boxscore,3,0,3,3,0,3,0,0,1,0,0,0,5,60.0,19,14:01,0,0,0,0,
2,Andrew Mangiapane\mangian01,LW,CGY,@,WSH,L,boxscore,1,1,2,1,2,1,0,0,0,1,0,0,2,50.0,24,13:47,1,1,1,0,100.0
3,Patrick Kane\kanepa01,RW,CHI,@,ANA,W,boxscore,1,1,2,0,0,1,0,0,1,0,1,0,3,33.3,20,19:45,0,0,0,0,
4,Evgeny Kuznetsov\kuzneev01,C,WSH,,CGY,W,boxscore,0,2,2,3,2,0,0,0,0,2,0,0,3,0.0,22,19:30,0,0,8,7,53.3
5,Tom Wilson\wilsoto01,RW,WSH,,CGY,W,boxscore,0,2,2,3,0,0,0,0,0,1,1,0,0,,23,15:17,5,1,1,0,100.0
6,Jonathan Toews\toewsjo01,C,CHI,@,ANA,W,boxscore,0,2,2,2,4,0,0,0,0,2,0,0,2,0.0,24,20:29,0,1,11,10,52.4
7,Sam Steel\steelsa01,C,ANA,,CHI,L-OT,boxscore,0,2,2,0,0,0,0,0,0,1,1,0,2,0.0,22,16:42,0,0,0,6,0.0
8,Adam Boqvist\boqviad01,D,CHI,@,ANA,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,17,15:44,0,0,0,0,
9,Lars Eller\ellerla01,C,WSH,,CGY,W,boxscore,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,18,16:35,0,0,9,6,60.0
10,Erik Gudbranson\gudbrer01,D,ANA,,CHI,L-OT,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,26,23:05,4,3,0,0,
11,Nick Ritchie\ritchni01,LW,ANA,,CHI,L-OT,boxscore,1,0,1,0,2,0,1,0,0,0,0,0,3,33.3,18,14:04,1,1,0,0,
12,Alex DeBrincat\debrial01,RW,CHI,@,ANA,W,boxscore,1,0,1,-1,0,0,1,0,0,0,0,0,3,33.3,20,18:33,0,0,0,0,
13,Elias Lindholm\lindhel01,C,CGY,@,WSH,L,boxscore,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,23,17:37,0,0,2,2,50.0
