,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,Auston Matthews\matthau01,C,TOR,@,CHI,L,boxscore,0,4,4,2,2,0,0,0,0,2,2,0,10,0.0,27,21:56,0,1,6,7,46.2
2,Leon Draisaitl\draisle01,C,EDM,@,ANA,W,boxscore,0,4,4,1,0,0,0,0,0,2,2,0,2,0.0,21,17:35,0,0,2,5,28.6
3,Connor McDavid\mcdavco01,C,EDM,@,ANA,W,boxscore,3,0,3,1,4,2,1,0,0,0,0,0,5,60.0,21,16:19,0,0,3,1,75.0
4,Patrick Kane\kanepa01,RW,CHI,,TOR,W,boxscore,2,1,3,1,0,2,0,0,0,0,1,0,5,40.0,20,18:45,0,0,0,0,
5,Zack Kassian\kassiza01,RW,EDM,@,ANA,W,boxscore,1,2,3,2,2,1,0,0,0,2,0,0,3,33.3,20,15:41,0,0,0,0,
6,Evgenii Dadonov\dadonev01,RW,FLA,@,NYR,W,boxscore,1,2,3,1,0,0,1,0,0,2,0,0,2,50.0,22,19:38,4,0,0,0,
7,Alex DeBrincat\debrial01,RW,CHI,,TOR,W,boxscore,0,3,3,2,0,0,0,0,0,2,1,0,5,0.0,20,17:16,1,0,1,0,100.0
8,William Nylander\nylanwi01,C,TOR,@,CHI,L,boxscore,2,0,2,2,0,2,0,0,0,0,0,0,4,50.0,27,20:22,0,0,0,4,0.0
9,Ryan Nugent-Hopkins\nugenry01,C,EDM,@,ANA,W,boxscore,2,0,2,1,0,1,1,0,1,0,0,0,7,28.6,22,18:43,0,0,4,4,50.0
10,Travis Konecny\konectr01,C,PHI,@,BOS,W,boxscore,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,27,17:39,1,1,1,1,50.0
11,Chris Kreider\kreidch01,LW,NYR,,FLA,L-SO,boxscore,1,1,2,2,0,0,1,0,0,1,0,0,4,25.0,22,20:08,2,0,2,6,25.0
12,Aleksander Barkov\barkoal01,C,FLA,@,NYR,W,boxscore,1,1,2,0,0,1,0,0,0,0,1,0,4,25.0,26,24:27,0,0,9,3,75.0
13,Jonathan Toews\toewsjo01,C,CHI,,TOR,W,boxscore,1,1,2,0,4,0,1,0,0,1,0,0,1,100.0,26,19:28,0,0,13,13,50.0
14,John Tavares\tavarjo01,C,TOR,@,CHI,L,boxscore,1,1,2,-2,0,0,1,0,0,0,1,0,3,33.3,22,20:42,0,0,12,8,60.0
15,Sean Couturier\coutuse01,C,PHI,@,BOS,W,boxscore,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,31,20:22,0,0,1,1,50.0
16,Dylan Strome\stromdy01,C,CHI,,TOR,W,boxscore,0,2,2,2,4,0,0,0,0,2,0,0,1,0.0,19,17:34,0,0,6,4,60.0
