,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,Brad Marchand\marchbr03,LW,BOS,,PIT,W,boxscore,2,3,5,4,0,2,0,0,1,3,0,0,2,100.0,23,24:21,0,0,1,0,100.0
2,Jean-Gabriel Pageau\pageaje01,C,OTT,@,NYR,W,boxscore,2,0,2,3,2,2,0,0,0,0,0,0,3,66.7,26,16:07,2,3,8,7,53.3
3,Matt Duchene\duchema01,C,NSH,@,DET,W,boxscore,2,0,2,2,0,1,1,0,0,0,0,0,6,33.3,20,16:10,0,0,4,3,57.1
4,Brady Tkachuk\tkachbr01,LW,OTT,@,NYR,W,boxscore,1,1,2,3,4,1,0,0,0,1,0,0,6,16.7,28,17:05,4,0,4,5,44.4
5,Kaapo Kakko\kakkoka01,RW,NYR,,OTT,L,boxscore,1,1,2,1,0,1,0,0,0,0,1,0,2,50.0,19,17:10,0,0,0,0,
6,David Pastrnak\pastrda01,RW,BOS,,PIT,W,boxscore,1,1,2,1,0,1,0,0,0,1,0,0,5,20.0,22,20:34,1,1,0,0,
7,Filip Forsberg\forsbfi01,C,NSH,@,DET,W,boxscore,1,1,2,0,0,0,1,0,0,0,1,0,2,50.0,23,17:10,2,1,0,0,
8,Vladislav Namestnikov\namesvl01,C,OTT,@,NYR,W,boxscore,1,1,2,0,2,0,1,0,0,0,1,0,3,33.3,26,17:50,3,2,0,1,0.0
9,David Krejci\krejcda01,C,BOS,,PIT,W,boxscore,0,2,2,3,2,0,0,0,0,2,0,0,2,0.0,20,16:35,0,0,3,5,37.5
10,Roman Josi\josiro01,D,NSH,@,DET,W,boxscore,0,2,2,0,2,0,0,0,0,0,2,0,2,0.0,23,22:22,1,0,0,0,
11,Patrice Bergeron\bergepa01,C,BOS,,PIT,W,boxscore,1,0,1,3,0,1,0,0,0,0,0,0,3,33.3,23,21:47,1,0,10,13,43.5
12,Nick Bjugstad\bjugsni01,C,PIT,@,BOS,L,boxscore,1,0,1,3,2,1,0,0,0,0,0,0,2,50.0,19,12:38,0,1,1,4,20.0
13,Ron Hainsey\hainsro01,D,OTT,@,NYR,W,boxscore,1,0,1,2,0,1,0,0,1,0,0,0,2,50.0,27,20:02,0,1,0,0,
14,Dominik Kahun\kahundo01,C,PIT,@,BOS,L,boxscore,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,15,10:16,0,0,1,0,100.0
15,Derek Stepan\stepade01,C,ARI,@,EDM,W,boxscore,1,0,1,2,0,1,0,0,1,0,0,0,3,33.3,27,21:25,0,0,4,14,22.2
16,Kyle Turris\turriky01,C,NSH,@,DET,W,boxscore,1,0,1,2,0,1,0,0,1,0,0,0,2,50.0,18,13:58,0,0,3,1,75.0
17,Nick Bonino\boninni01,C,NSH,@,DET,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,25,17:49,0,1,5,7,41.7
18,Jake Debrusk\debruja01,LW,BOS,,PIT,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,18,15:22,1,0,0,0,
19,Michael Grabner\grabnmi01,RW,ARI,@,EDM,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,23,16:05,0,1,0,0,
20,Gaetan Haas\haasga01,F,EDM,,ARI,L-OT,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,10,7:09,2,0,1,3,25.0
21,John Marino\marinjo01,D,PIT,@,BOS,L,boxscore,1,0,1,1,2,1,0,0,0,0,0,0,4,25.0,32,21:35,0,2,0,0,
22,Andreas Athanasiou\athanan01,C,DET,,NSH,L,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,19,13:04,0,0,0,1,0.0
23,Tyler Ennis\ennisty01,C,OTT,@,NYR,W,boxscore,1,0,1,0,0,0,1,0,0,0,0,0,6,16.7,24,16:41,0,1,0,1,0.0
24,Torey Krug\krugto01,D,BOS,,PIT,W,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,27,19:08,0,0,0,0,
25,Colton Sissons\sissoco01,C,NSH,@,DET,W,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,22,13:54,1,0,4,10,28.6
26,Carl Soderberg\soderca01,C,ARI,@,EDM,W,boxscore,1,0,1,0,2,1,0,0,0,0,0,0,1,100.0,24,17:13,3,0,6,2,75.0
27,Connor McDavid\mcdavco01,C,EDM,,ARI,L-OT,boxscore,1,0,1,-1,2,1,0,0,0,0,0,0,4,25.0,23,23:06,0,0,2,1,66.7
28,Artemi Panarin\panarar01,LW,NYR,,OTT,L,boxscore,1,0,1,-1,2,0,1,0,0,0,0,0,5,20.0,21,20:18,0,0,0,0,
29,Bryan Rust\rustbr01,RW,PIT,@,BOS,L,boxscore,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,25,13:42,1,0,0,0,
