,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
38,Tomas Hertl\hertlto01,C,SJS,,NSH,W,boxscore,1,0,1,1,2,1,0,0,0,0,0,0,5,20.0,27,21:19,0,1,11,9,55.0
39,Mathieu Joseph\josepma01,RW,TBL,,BUF,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,19,13:50,0,0,1,1,50.0
40,Patrick Kane\kanepa01,RW,CHI,@,PIT,L-SO,boxscore,1,0,1,1,2,1,0,0,0,0,0,0,3,33.3,25,24:28,0,0,0,0,
41,Dominik Kubal?k\kubaldo01,LW,CHI,@,PIT,L-SO,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,16,11:36,1,1,0,0,
42,Scott Mayfield\mayfisc01,D,NYI,,FLA,W,boxscore,1,0,1,1,0,1,0,0,1,0,0,0,4,25.0,23,22:55,4,1,0,0,
43,Philippe Myers\myersph01,D,PHI,@,TOR,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,28,19:54,1,2,0,0,
44,Vladislav Namestnikov\namesvl01,C,OTT,,CAR,W,boxscore,1,0,1,1,5,1,0,0,1,0,0,0,1,100.0,23,15:41,1,1,1,3,25.0
45,Jean-Gabriel Pageau\pageaje01,C,OTT,,CAR,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,28,17:49,3,1,4,10,28.6
46,Jonas Siegenthaler\siegejo01,D,WSH,,VEG,W,boxscore,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,18,15:21,1,3,0,0,
47,Nate Thompson\thompna01,C,MTL,,LAK,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,20,13:30,2,2,7,9,43.8
48,Brady Tkachuk\tkachbr01,LW,OTT,,CAR,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,25,17:56,2,0,5,3,62.5
49,Tom Wilson\wilsoto01,RW,WSH,,VEG,W,boxscore,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,24,17:32,2,0,0,3,0.0
50,Aleksander Barkov\barkoal01,C,FLA,@,NYI,L,boxscore,1,0,1,0,0,0,1,0,0,0,0,0,9,11.1,22,23:39,1,0,10,12,45.5
51,Emil Bemstrom\bemstem01,C,CBJ,@,COL,L,boxscore,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,17,13:24,0,0,1,0,100.0
52,Anze Kopitar\kopitan01,C,LAK,@,MTL,L,boxscore,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,25,21:13,0,0,12,6,66.7
53,Oskar Lindblom\lindbos01,LW,PHI,@,TOR,W,boxscore,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,25,17:00,0,1,0,0,
54,Victor Olofsson\olofsvi01,RW,BUF,@,TBL,L,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,7,14.3,24,21:34,0,0,0,0,
55,Bryan Rust\rustbr01,RW,PIT,,CHI,W,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,25,16:30,3,0,0,0,
56,Andrei Svechnikov\svechan01,RW,CAR,@,OTT,L,boxscore,1,0,1,0,0,0,1,0,0,0,0,0,5,20.0,21,15:54,2,1,0,0,
57,Zach Werenski\werenza01,D,CBJ,@,COL,L,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,28,24:21,1,0,0,0,
58,Jakob Chychrun\chychja01,D,ARI,,MIN,L,boxscore,1,0,1,-1,0,1,0,0,0,0,0,0,5,20.0,26,23:23,0,0,0,0,
59,Mathew Dumba\dumbama01,D,MIN,@,ARI,W,boxscore,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,24,23:38,2,1,0,0,
60,Ryan Hartman\hartmry01,RW,MIN,@,ARI,W,boxscore,1,0,1,-1,2,1,0,0,1,0,0,0,1,100.0,23,15:40,0,0,0,0,
61,Victor Hedman\hedmavi01,D,TBL,,BUF,W,boxscore,1,0,1,-1,0,0,1,0,0,0,0,0,4,25.0,25,21:52,0,3,0,0,
62,Max Pacioretty\pacioma01,LW,VEG,@,WSH,L,boxscore,1,0,1,-1,0,1,0,0,0,0,0,0,6,16.7,18,17:27,0,1,0,0,
63,Reilly Smith\smithre01,RW,VEG,@,WSH,L,boxscore,1,0,1,-1,0,0,1,0,0,0,0,0,2,50.0,22,18:51,0,0,0,1,0.0
64,Mark Giordano\giordma01,D,CGY,,STL,L-OT,boxscore,0,1,1,2,2,0,0,0,0,1,0,0,3,0.0,33,26:06,0,2,0,0,
65,Justin Holl\hollju01,D,TOR,,PHI,L-SO,boxscore,0,1,1,2,0,0,0,0,0,1,0,0,0,,24,13:01,0,3,0,0,
66,Aaron Ness\nessaa01,D,ARI,,MIN,L,boxscore,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,19,12:35,1,0,0,0,
67,Dmitry Orlov\orlovdm01,D,WSH,,VEG,W,boxscore,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,22,19:20,2,1,0,0,
68,Cam Atkinson\atkinca01,RW,CBJ,@,COL,L,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,25,20:04,1,1,0,0,
69,Mikael Backlund\backlmi01,C,CGY,,STL,L-OT,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,26,16:35,0,0,6,6,50.0
70,J.C. Beaudin\beaudje01,C,OTT,,CAR,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,13,8:28,0,0,2,2,50.0
71,Travis Boyd\boydtr01,C,WSH,,VEG,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,0,,12,10:05,0,0,2,0,100.0
72,Derick Brassard\brassde01,C,NYI,,FLA,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,23,17:54,2,0,1,0,100.0
73,Rasmus Dahlin\dahlira01,D,BUF,@,TBL,L,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,0,,23,21:30,2,0,0,0,
74,Jonathan Davidsson\davidjo03,RW,OTT,,CAR,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,13,6:45,3,0,0,0,
75,Calvin de Haan\dehaaca01,D,CHI,@,PIT,L-SO,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,26,21:00,3,5,0,0,
76,Anthony Duclair\duclaan01,LW,OTT,,CAR,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,27,17:45,1,1,0,0,
77,Tyler Ennis\ennisty01,C,OTT,,CAR,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,21,16:04,0,0,0,0,
78,Dante Fabbro\fabbrda01,D,NSH,@,SJS,L-SO,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,0,,17,12:54,1,2,0,0,
79,Nick Foligno\foligni01,LW,CBJ,@,COL,L,boxscore,0,1,1,1,15,0,0,0,0,1,0,0,2,0.0,13,10:42,1,0,4,4,50.0
80,Carl Grundstrom\grundca01,RW,LAK,@,MTL,L,boxscore,0,1,1,1,2,0,0,0,0,1,0,0,0,,22,14:43,2,0,0,0,
81,Ron Hainsey\hainsro01,D,OTT,,CAR,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,0,,27,19:40,0,2,0,0,
82,Alex Killorn\killoal01,C/LW,TBL,,BUF,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,0,,25,17:49,0,0,0,0,
83,Mackenzie MacEachern\maceama01,LW,STL,@,CGY,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,17,10:54,5,0,0,0,
84,Andrew Mangiapane\mangian01,LW,CGY,,STL,L-OT,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,0,,20,13:20,0,0,0,1,0.0
85,John Marino\marinjo01,D,PIT,,CHI,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,28,21:31,0,3,0,0,
86,Timo Meier\meierti01,RW,SJS,,NSH,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,27,20:47,2,1,0,0,
87,Brock Nelson\nelsobr01,C,NYI,,FLA,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,26,24:35,0,1,17,8,68.0
88,Matthew Nieto\nietoma01,LW,COL,,CBJ,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,19,15:44,1,0,0,0,
89,T.J. Oshie\oshietj01,C/RW,WSH,,VEG,W,boxscore,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,20,19:51,2,0,3,0,100.0
90,Zach Parise\parisza01,LW,MIN,@,ARI,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,24,19:45,0,0,0,0,
91,Nick Paul\paulni01,LW,OTT,,CAR,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,25,17:03,3,1,1,4,20.0
92,Oskar Sundqvist\sundqos01,C,STL,@,CGY,W,boxscore,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,21,12:25,0,0,2,1,66.7
93,Devon Toews\toewsde01,D,NYI,,FLA,W,boxscore,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,21,17:41,0,0,0,0,
94,Austin Wagner\wagneau01,LW,LAK,@,MTL,L,boxscore,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,22,13:38,3,0,0,0,
95,Colin White\whiteco02,C,OTT,,CAR,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,24,16:22,0,0,7,6,53.8
96,Anthony Cirelli\cirelan01,C,TBL,,BUF,W,boxscore,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,22,18:26,1,1,8,12,40.0
97,Nick Cousins\cousini01,C,MTL,,LAK,W,boxscore,0,1,1,0,2,0,0,0,0,0,1,0,1,0.0,18,15:12,1,1,1,0,100.0
98,Max Domi\domima01,LW,MTL,,LAK,W,boxscore,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,18,16:56,0,0,6,9,40.0
99,Christian Dvorak\dvorach01,C,ARI,,MIN,L,boxscore,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,23,16:10,0,0,13,3,81.3
100,Shayne Gostisbehere\gostish01,D,PHI,@,TOR,W,boxscore,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,25,15:57,0,0,0,0,
101,Ryan Graves\gravery01,D,COL,,CBJ,W,boxscore,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,21,17:08,2,5,0,0,
102,Jonathan Huberdeau\huberjo01,C,FLA,@,NYI,L,boxscore,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,19,21:36,1,0,0,0,
103,Brad Hunt\huntbr01,D,MIN,@,ARI,W,boxscore,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,13:09,0,1,0,0,
104,Marcus Johansson\johanma03,C/W,BUF,@,TBL,L,boxscore,0,1,1,0,2,0,0,0,0,1,0,0,3,0.0,26,19:46,3,0,10,6,62.5
