,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,Sebastian Aho\ahose01,F,CAR,,DET,W,boxscore,2,1,3,3,2,2,0,0,0,0,1,0,4,50.0,21,17:24,0,0,4,3,57.1
2,Anders Lee\leean01,C,NYI,,TBL,W,boxscore,1,2,3,3,0,1,0,0,0,2,0,0,4,25.0,21,17:48,0,2,0,0,
3,Tom Wilson\wilsoto01,RW,WSH,,BUF,W,boxscore,1,2,3,2,0,1,0,0,0,2,0,0,2,50.0,20,17:09,5,2,0,0,
4,Dougie Hamilton\hamildo01,D,CAR,,DET,W,boxscore,0,3,3,3,2,0,0,0,0,2,0,1,1,0.0,27,22:18,1,0,0,0,
5,Michal Kempny\kempnmi01,D,WSH,,BUF,W,boxscore,0,3,3,3,0,0,0,0,0,3,0,0,1,0.0,25,20:57,1,1,0,0,
6,Jaccob Slavin\slavija01,D,CAR,,DET,W,boxscore,0,3,3,3,0,0,0,0,0,3,0,0,1,0.0,29,21:01,0,0,0,0,
7,Roope Hintz\hintzro01,LW,DAL,@,COL,W,boxscore,2,0,2,2,0,1,0,1,1,0,0,0,5,40.0,26,14:08,1,0,2,3,40.0
8,Jakub Vrana\vranaja01,LW,WSH,,BUF,W,boxscore,2,0,2,2,0,2,0,0,0,0,0,0,8,25.0,17,16:45,0,1,0,0,
9,Anthony Mantha\manthan01,RW,DET,@,CAR,L,boxscore,2,0,2,-3,0,1,1,0,0,0,0,0,5,40.0,21,17:39,0,1,1,0,100.0
10,Derick Brassard\brassde01,C,NYI,,TBL,W,boxscore,1,1,2,3,0,1,0,0,0,1,0,0,5,20.0,22,16:15,2,1,0,0,
11,Andrei Svechnikov\svechan01,RW,CAR,,DET,W,boxscore,1,1,2,3,0,1,0,0,0,1,0,0,3,33.3,18,16:22,3,2,0,1,0.0
12,Mathew Barzal\barzama01,C,NYI,,TBL,W,boxscore,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,20,18:55,0,3,0,4,0.0
13,Oliver Bjorkstrand\bjorkol01,RW,CBJ,@,STL,L-OT,boxscore,1,1,2,2,0,0,1,0,0,1,0,0,5,20.0,18,15:48,0,0,0,0,
14,Sean Couturier\coutuse01,C,PHI,@,NJD,W,boxscore,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,29,18:00,2,0,0,3,0.0
15,Brendan Leipsic\leipsbr01,LW,WSH,,BUF,W,boxscore,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,14,10:48,0,1,0,0,
16,Oskar Lindblom\lindbos01,LW,PHI,@,NJD,W,boxscore,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,31,13:55,2,0,0,1,0.0
17,Josh Bailey\bailejo01,C,NYI,,TBL,W,boxscore,1,1,2,0,0,1,0,0,1,1,0,0,1,100.0,23,18:43,1,1,3,4,42.9
