,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,Joel Edmundson\edmunjo01,D,CAR,,OTT,W,boxscore,1,2,3,3,0,1,0,0,0,2,0,0,3,33.3,25,19:35,0,1,0,0,
2,Sebastian Aho\ahose01,F,CAR,,OTT,W,boxscore,2,0,2,4,0,1,0,1,1,0,0,0,2,100.0,23,15:28,0,0,6,5,54.5
3,Evgeny Kuznetsov\kuzneev01,C,WSH,,ARI,L-SO,boxscore,2,0,2,2,0,2,0,0,0,0,0,0,5,40.0,25,23:28,1,0,6,6,50.0
4,Warren Foegele\foegewa01,LW,CAR,,OTT,W,boxscore,1,1,2,3,0,1,0,0,0,1,0,0,4,25.0,22,16:39,0,0,0,0,
5,Ryan Dzingel\dzingry01,C,CAR,,OTT,W,boxscore,1,1,2,2,2,1,0,0,0,1,0,0,4,25.0,21,16:59,0,0,0,2,0.0
6,Martin Necas\necasma01,C,CAR,,OTT,W,boxscore,1,1,2,-1,0,0,1,0,0,1,0,0,2,50.0,19,14:34,0,1,0,2,0.0
7,Brett Pesce\pescebr01,D,CAR,,OTT,W,boxscore,0,2,2,4,0,0,0,0,0,2,0,0,4,0.0,26,21:49,0,1,0,0,
8,Andrei Svechnikov\svechan01,RW,CAR,,OTT,W,boxscore,0,2,2,3,0,0,0,0,0,2,0,0,1,0.0,21,12:45,3,1,0,0,
9,Christian Fischer\fischch01,RW,ARI,@,WSH,W,boxscore,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,21,13:02,2,0,1,1,50.0
10,Haydn Fleury\fleurha01,D,CAR,,OTT,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,20,13:28,1,1,0,0,
11,Dougie Hamilton\hamildo01,D,CAR,,OTT,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,28,21:43,1,1,0,0,
12,Michael Grabner\grabnmi01,RW,ARI,@,WSH,W,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,25,13:39,0,0,0,0,
13,Clayton Keller\kellecl01,C,ARI,@,WSH,W,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,24,15:49,0,0,0,0,
14,T.J. Oshie\oshietj01,C/RW,WSH,,ARI,L-SO,boxscore,1,0,1,0,2,1,0,0,0,0,0,0,4,25.0,22,20:43,2,0,1,3,25.0
15,Colin White\whiteco02,C,OTT,@,CAR,L,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,22,15:22,0,0,5,6,45.5
16,Brady Tkachuk\tkachbr01,LW,OTT,@,CAR,L,boxscore,1,0,1,-3,0,1,0,0,0,0,0,0,5,20.0,21,14:41,0,1,1,2,33.3
17,Teuvo Teravainen\teravte01,F,CAR,,OTT,W,boxscore,0,1,1,3,2,0,0,0,0,1,0,0,1,0.0,20,14:55,2,0,1,0,100.0
18,Tyler Ennis\ennisty01,C,OTT,@,CAR,L,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,0,,22,15:37,0,1,0,0,
19,Alex Goligoski\goligal01,D,ARI,@,WSH,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,33,27:00,4,3,0,0,
20,Eetu Luostarinen\luostee01,C,CAR,,OTT,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,17,11:12,0,1,3,5,37.5
21,Brad Richardson\richabr02,C,ARI,@,WSH,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,27,16:03,0,1,10,3,76.9
22,Tom Wilson\wilsoto01,RW,WSH,,ARI,L-SO,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,23,21:38,6,0,0,0,
23,John Carlson\carlsjo01,D,WSH,,ARI,L-SO,boxscore,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,26,27:17,0,3,0,0,
24,Jake Gardiner\gardija01,D,CAR,,OTT,W,boxscore,0,1,1,0,2,0,0,0,0,0,1,0,3,0.0,22,16:04,0,0,0,0,
25,Vinnie Hinostroza\hinosvi01,C,ARI,@,WSH,W,boxscore,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,23,15:15,0,1,0,0,
26,Alex Ovechkin\ovechal01,LW,WSH,,ARI,L-SO,boxscore,0,1,1,0,0,0,0,0,0,1,0,0,7,0.0,25,25:31,1,0,0,0,
27,Jakub Vrana\vranaja01,LW,WSH,,ARI,L-SO,boxscore,0,1,1,0,2,0,0,0,0,1,0,0,3,0.0,19,15:22,0,0,0,0,
28,Mark Borowiecki\borowma01,D,OTT,@,CAR,L,boxscore,0,1,1,-1,0,0,0,0,0,1,0,0,4,0.0,26,18:23,7,1,0,0,
29,Michal Kempny\kempnmi01,D,WSH,,ARI,L-SO,boxscore,0,1,1,-1,0,0,0,0,0,1,0,0,0,,23,21:55,0,1,0,0,
30,Nino Niederreiter\niedeni01,RW,CAR,,OTT,W,boxscore,0,1,1,-1,0,0,0,0,0,1,0,0,0,,18,15:23,0,1,0,0,
31,Lucas Wallmark\wallmlu01,C,CAR,,OTT,W,boxscore,0,1,1,-2,0,0,0,0,0,0,1,0,1,0.0,23,17:22,3,1,10,7,58.8
32,Thomas Chabot\chaboth01,D,OTT,@,CAR,L,boxscore,0,1,1,-3,0,0,0,0,0,1,0,0,2,0.0,27,23:40,3,1,0,0,
33,Chris Tierney\tiernch01,C,OTT,@,CAR,L,boxscore,0,1,1,-3,0,0,0,0,0,1,0,0,1,0.0,23,13:56,2,0,7,3,70.0
34,Nick Jensen\jenseni02,D,WSH,,ARI,L-SO,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,16:17,0,0,0,0,
35,Vladislav Namestnikov\namesvl01,C,OTT,@,CAR,L,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,9:56,1,2,0,0,
36,Richard Panik\panikri01,RW,WSH,,ARI,L-SO,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,10:47,2,0,0,0,
37,Jonas Siegenthaler\siegejo01,D,WSH,,ARI,L-SO,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,11:45,0,0,0,0,
38,Jaccob Slavin\slavija01,D,CAR,,OTT,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,8,0.0,28,22:00,1,2,0,0,
39,Jordan Staal\staaljo01,C,CAR,,OTT,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,18:13,0,0,8,12,40.0
40,Chandler Stephenson\stephch02,C,WSH,,ARI,L-SO,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,11:39,3,2,1,0,100.0
41,Nicklas Backstrom\backsni02,C,WSH,,ARI,L-SO,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,21:56,0,0,6,10,37.5
42,J.C. Beaudin\beaudje01,C,OTT,@,CAR,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,14:04,3,1,6,4,60.0
43,Jakob Chychrun\chychja01,D,ARI,@,WSH,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,33,27:50,2,4,0,0,
44,Lawson Crouse\crousla01,LW,ARI,@,WSH,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,15:24,1,2,0,0,
45,Christian Dvorak\dvorach01,C,ARI,@,WSH,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,16:33,0,0,7,1,87.5
46,Oliver Ekman-Larsson\ekmanol01,D,ARI,@,WSH,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,30,21:31,1,0,0,0,
47,Lars Eller\ellerla01,C,WSH,,ARI,L-SO,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,17:16,0,0,6,8,42.9
48,Conor Garland\garlaco01,RW,ARI,@,WSH,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,9:20,1,1,0,0,
49,Brian Gibbons\gibbobr02,C,CAR,,OTT,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:36,0,0,0,0,
50,Brock McGinn\mcginbr01,LW,CAR,,OTT,W,boxscore,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,21,13:17,2,0,0,1,0.0
51,Aaron Ness\nessaa01,D,ARI,@,WSH,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,11:13,0,1,0,0,
52,Jordan Oesterle\oestejo01,D,ARI,@,WSH,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,15:43,2,1,0,0,
53,Bobby Ryan\ryanbo01,LW,OTT,@,CAR,L,boxscore,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,20,12:46,2,0,0,1,0.0
54,Carl Soderberg\soderca01,C,ARI,@,WSH,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,18:50,1,0,5,5,50.0
55,Filip Chlapik\chlapfi01,C,OTT,@,CAR,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,12:27,1,0,0,2,0.0
56,Dylan DeMelo\demeldy01,D,OTT,@,CAR,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,29,19:42,1,1,0,0,
57,Jason Demers\demerja01,D,ARI,@,WSH,W,boxscore,0,0,0,-1,2,0,0,0,0,0,0,0,0,,30,19:53,0,1,0,0,
58,Nic Dowd\dowdni01,C,WSH,,ARI,L-SO,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,8:17,1,0,3,3,50.0
59,Radko Gudas\gudasra01,D,WSH,,ARI,L-SO,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,17:09,1,1,0,0,
60,Ron Hainsey\hainsro01,D,OTT,@,CAR,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,18:07,1,1,0,0,
61,Garnet Hathaway\hathaga01,RW,WSH,,ARI,L-SO,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,9:30,0,0,0,0,
62,Phil Kessel\kesseph01,RW,ARI,@,WSH,W,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,15:06,0,0,0,0,
63,Brendan Leipsic\leipsbr01,LW,WSH,,ARI,L-SO,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,7:35,0,1,0,0,
64,Dmitry Orlov\orlovdm01,D,WSH,,ARI,L-SO,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,26,23:56,1,1,0,0,
65,Jean-Gabriel Pageau\pageaje01,C,OTT,@,CAR,L,boxscore,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,26,15:32,2,0,7,7,50.0
66,Nick Schmaltz\schmani01,C,ARI,@,WSH,W,boxscore,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,21,17:45,0,0,1,4,20.0
67,Derek Stepan\stepade01,C,ARI,@,WSH,W,boxscore,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,27,19:04,0,1,6,9,40.0
68,Nikita Zaitsev\zaitsni01,D,OTT,@,CAR,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25,21:55,0,3,0,0,
69,Connor Brown\brownco02,RW,OTT,@,CAR,L,boxscore,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,26,20:33,0,0,0,1,0.0
70,Nick Paul\paulni01,LW,OTT,@,CAR,L,boxscore,0,0,0,-2,4,0,0,0,0,0,0,0,3,0.0,27,17:09,1,2,8,2,80.0
71,Erik Brannstrom\branner01,D,OTT,@,CAR,L,boxscore,0,0,0,-3,2,0,0,0,0,0,0,0,0,,24,14:22,0,1,0,0,
