,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,Nathan MacKinnon\mackina01,C,COL,,NSH,W,boxscore,1,3,4,2,0,0,1,0,0,3,0,0,10,10.0,17,14:28,0,1,5,4,55.6
2,Logan Couture\coutulo01,C,SJS,,MIN,W,boxscore,1,3,4,1,0,1,0,0,0,1,2,0,4,25.0,26,20:58,2,0,3,6,33.3
3,Joonas Donskoi\donskjo01,RW,COL,,NSH,W,boxscore,3,0,3,2,0,2,1,0,0,0,0,0,6,50.0,21,19:07,0,0,0,0,
4,Alex Ovechkin\ovechal01,LW,WSH,@,FLA,W,boxscore,2,1,3,1,0,1,1,0,0,1,0,0,8,25.0,21,20:13,2,0,0,0,
5,Jared McCann\mccanja01,C,PIT,@,NYI,W,boxscore,1,2,3,3,0,1,0,0,0,2,0,0,3,33.3,22,15:04,4,0,0,0,
6,John Carlson\carlsjo01,D,WSH,@,FLA,W,boxscore,1,2,3,2,0,1,0,0,0,1,1,0,5,20.0,24,24:08,1,2,0,0,
7,Ryan Graves\gravery01,D,COL,,NSH,W,boxscore,1,2,3,2,2,1,0,0,0,1,0,1,4,25.0,23,20:11,2,4,0,0,
8,Noah Hanifin\hanifno01,D,CGY,,NJD,W,boxscore,1,2,3,1,0,0,1,0,0,1,1,0,4,25.0,27,20:42,3,0,0,0,
9,Tomas Hertl\hertlto01,C,SJS,,MIN,W,boxscore,1,2,3,1,0,0,1,0,0,2,0,0,1,100.0,25,15:51,2,0,8,5,61.5
10,Cale Makar\makarca01,D,COL,,NSH,W,boxscore,1,2,3,1,0,1,0,0,0,1,1,0,4,25.0,27,19:50,1,1,0,0,
11,Andre Burakovsky\burakan01,LW,COL,,NSH,W,boxscore,1,2,3,0,0,1,0,0,1,0,2,0,2,50.0,21,16:45,0,0,0,1,0.0
12,Patrick Kane\kanepa01,RW,CHI,,VAN,W,boxscore,1,2,3,0,0,0,1,0,1,1,1,0,4,25.0,22,19:23,2,1,0,0,
13,Eric Staal\staaler01,C,MIN,@,SJS,L,boxscore,1,2,3,0,2,1,0,0,0,2,0,0,3,33.3,21,18:02,0,0,8,2,80.0
