,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,Nathan MacKinnon\mackina01,C,COL,@,WPG,W,boxscore,2,2,4,3,0,2,0,0,0,1,1,0,6,33.3,22,20:40,3,0,5,7,41.7
2,Tanner Pearson\pearsta01,LW,VAN,,NSH,W,boxscore,2,1,3,1,0,1,1,0,0,0,1,0,3,66.7,22,18:29,3,2,0,0,
3,Joonas Donskoi\donskjo01,RW,COL,@,WPG,W,boxscore,1,2,3,2,0,0,1,0,0,2,0,0,2,50.0,21,20:15,0,0,0,0,
4,Keith Yandle\yandlke01,D,FLA,@,BOS,W,boxscore,1,2,3,1,0,1,0,0,0,1,1,0,3,33.3,28,25:48,0,4,0,0,
5,Erik Karlsson\karlser01,D,SJS,,EDM,W,boxscore,0,3,3,3,0,0,0,0,0,3,0,0,2,0.0,28,22:34,0,3,0,0,
6,Jonathan Huberdeau\huberjo01,C,FLA,@,BOS,W,boxscore,0,3,3,1,0,0,0,0,0,1,2,0,0,,23,20:09,2,0,0,0,
7,Kaapo Kakko\kakkoka01,RW,NYR,,PIT,W,boxscore,2,0,2,1,0,2,0,0,1,0,0,0,3,66.7,20,16:38,1,0,0,0,
8,Elias Pettersson\petteel01,C,VAN,,NSH,W,boxscore,2,0,2,-1,0,1,1,0,1,0,0,0,4,50.0,28,21:05,0,0,4,1,80.0
9,Adam Fox\foxad01,D,NYR,,PIT,W,boxscore,1,1,2,2,2,1,0,0,0,1,0,0,1,100.0,21,19:03,0,1,0,0,
10,Anze Kopitar\kopitan01,C,LAK,,MIN,W,boxscore,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,26,19:44,0,1,6,7,46.2
11,Sean Walker\walkese01,D,LAK,,MIN,W,boxscore,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,25,24:35,0,2,0,0,
12,Leon Draisaitl\draisle01,C,EDM,@,SJS,L,boxscore,1,1,2,1,2,1,0,0,0,1,0,0,3,33.3,21,19:26,0,0,4,6,40.0
13,Sam Gagner\gagnesa01,C,EDM,@,SJS,L,boxscore,1,1,2,1,0,1,0,0,0,1,0,0,3,33.3,16,13:15,2,0,4,4,50.0
14,Barclay Goodrow\goodrba01,RW,SJS,,EDM,W,boxscore,1,1,2,1,5,1,0,0,1,1,0,0,1,100.0,18,11:18,1,0,0,0,
15,Timo Meier\meierti01,RW,SJS,,EDM,W,boxscore,1,1,2,1,0,1,0,0,0,1,0,0,3,33.3,22,14:13,1,0,0,0,
16,Adam Gaudette\gaudead01,C,VAN,,NSH,W,boxscore,1,1,2,0,0,0,1,0,0,0,1,0,2,50.0,24,12:16,1,0,3,8,27.3
17,Zach Werenski\werenza01,D,CBJ,@,MTL,L-SO,boxscore,1,1,2,0,2,1,0,0,0,1,0,0,6,16.7,30,25:26,0,1,0,0,
18,Clayton Keller\kellecl01,C,ARI,@,STL,W,boxscore,1,1,2,-1,0,1,0,0,0,0,1,0,5,20.0,23,16:36,0,0,0,0,
19,Logan Couture\coutulo01,C,SJS,,EDM,W,boxscore,0,2,2,2,0,0,0,0,0,2,0,0,3,0.0,22,17:16,2,0,9,4,69.2
20,Ondrej Kase\kaseon01,RW,ANA,,DET,L-OT,boxscore,0,2,2,2,0,0,0,0,0,2,0,0,3,0.0,21,16:35,0,0,0,0,
21,David Krejci\krejcda01,C,BOS,,FLA,L-SO,boxscore,0,2,2,2,0,0,0,0,0,1,1,0,3,0.0,22,17:34,1,0,7,5,58.3
22,Aleksander Barkov\barkoal01,C,FLA,@,BOS,W,boxscore,0,2,2,1,0,0,0,0,0,2,0,0,2,0.0,25,23:32,1,0,9,10,47.4
23,Matt Calvert\calvema01,LW,COL,@,WPG,W,boxscore,0,2,2,1,0,0,0,0,0,2,0,0,4,0.0,23,17:57,0,3,0,2,0.0
24,Tyler Bertuzzi\bertuty01,LW,DET,@,ANA,W,boxscore,0,2,2,0,0,0,0,0,0,1,1,0,0,,25,21:20,0,0,0,0,
25,Adam Henrique\henriad01,C,ANA,,DET,L-OT,boxscore,0,2,2,0,0,0,0,0,0,2,0,0,4,0.0,22,16:32,1,0,5,8,38.5
26,Tomas Hertl\hertlto01,C,SJS,,EDM,W,boxscore,1,0,1,2,2,1,0,0,0,0,0,0,2,50.0,22,17:15,0,0,5,7,41.7
