,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
38,Jake McCabe\mccabja01,D,BUF,,TBL,L,boxscore,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,23,18:40,1,0,0,0,
39,Connor McDavid\mcdavco01,C,EDM,,NJD,W,boxscore,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,18,19:17,0,1,3,2,60.0
40,Neal Pionk\pionkne01,D,WPG,,VAN,W,boxscore,0,1,1,0,0,0,0,0,0,0,1,0,4,0.0,24,23:20,1,0,0,0,
41,Blake Wheeler\wheelbl01,RW,WPG,,VAN,W,boxscore,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,20,16:41,2,0,5,5,50.0
42,Brock Boeser\boesebr01,RW,VAN,@,WPG,L,boxscore,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,21,18:36,3,0,1,0,100.0
43,Madison Bowey\boweyma01,D,DET,,BOS,W,boxscore,0,1,1,-1,4,0,0,0,0,1,0,0,0,,25,18:59,2,2,0,0,
44,Torey Krug\krugto01,D,BOS,@,DET,L,boxscore,0,1,1,-1,2,0,0,0,0,0,1,0,2,0.0,25,18:33,0,2,0,0,
45,Steven Stamkos\stamkst01,C,TBL,@,BUF,W,boxscore,0,1,1,-2,0,0,0,0,0,0,1,0,2,0.0,20,15:41,0,1,8,6,57.1
46,Jack Eichel\eicheja01,C,BUF,,TBL,L,boxscore,0,0,0,2,2,0,0,0,0,0,0,0,1,0.0,26,23:16,1,0,7,10,41.2
47,Filip Hronek\hronefi01,D,DET,,BOS,W,boxscore,0,0,0,2,5,0,0,0,0,0,0,0,1,0.0,26,21:45,2,2,0,0,
48,Oscar Klefbom\klefbos01,D,EDM,,NJD,W,boxscore,0,0,0,2,2,0,0,0,0,0,0,0,0,,28,23:23,1,2,0,0,
49,Josh Morrissey\morrijo04,D,WPG,,VAN,W,boxscore,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,24,21:25,0,1,0,0,
50,Patrik Nemeth\nemetpa01,D,DET,,BOS,W,boxscore,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,29,26:17,0,1,0,0,
