,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,Connor McDavid\mcdavco01,C,EDM,,COL,W,boxscore,3,3,6,1,0,0,3,0,0,2,1,0,6,50.0,21,17:55,0,2,7,6,53.8
2,Leon Draisaitl\draisle01,C,EDM,,COL,W,boxscore,0,5,5,1,0,0,0,0,0,2,3,0,4,0.0,21,16:58,1,0,3,5,37.5
3,Nikita Kucherov\kucheni01,RW,TBL,,NYR,W,boxscore,1,3,4,0,0,0,1,0,0,1,2,0,3,33.3,19,15:04,0,0,0,0,
4,Alex Killorn\killoal01,C/LW,TBL,,NYR,W,boxscore,2,1,3,0,2,0,2,0,0,0,1,0,4,50.0,24,18:29,0,0,0,0,
5,Anze Kopitar\kopitan01,C,LAK,,DET,W,boxscore,1,2,3,2,0,1,0,0,0,2,0,0,1,100.0,25,20:03,0,1,9,6,60.0
6,Mark Scheifele\scheima01,C,WPG,@,FLA,W,boxscore,1,2,3,1,2,1,0,0,0,2,0,0,3,33.3,24,17:36,1,0,3,9,25.0
7,Andrei Svechnikov\svechan01,RW,CAR,@,BUF,W,boxscore,1,2,3,1,4,0,1,0,0,1,1,0,1,100.0,26,20:18,3,0,0,0,
8,Teuvo Teravainen\teravte01,F,CAR,@,BUF,W,boxscore,1,2,3,1,0,1,0,0,0,0,2,0,3,33.3,29,21:52,0,0,1,0,100.0
9,Yanni Gourde\gourdya01,C,TBL,,NYR,W,boxscore,1,2,3,0,0,0,1,0,0,2,0,0,2,50.0,19,12:21,0,0,0,1,0.0
10,Steven Stamkos\stamkst01,C,TBL,,NYR,W,boxscore,1,2,3,0,0,0,1,0,0,0,2,0,2,50.0,25,15:15,0,0,10,7,58.8
11,Oscar Klefbom\klefbos01,D,EDM,,COL,W,boxscore,0,3,3,1,0,0,0,0,0,0,3,0,1,0.0,30,27:30,1,0,0,0,
12,Patrik Laine\lainepa01,RW,WPG,@,FLA,W,boxscore,0,3,3,1,0,0,0,0,0,3,0,0,1,0.0,24,18:15,0,0,0,1,0.0
13,Victor Hedman\hedmavi01,D,TBL,,NYR,W,boxscore,0,3,3,0,0,0,0,0,0,0,3,0,6,0.0,27,23:23,1,1,0,0,
14,Andre Burakovsky\burakan01,LW,COL,@,EDM,L,boxscore,2,0,2,2,0,2,0,0,0,0,0,0,5,40.0,21,18:50,0,0,0,0,
15,Tyler Bertuzzi\bertuty01,LW,DET,@,LAK,L-OT,boxscore,2,0,2,1,0,2,0,0,0,0,0,0,4,50.0,22,16:51,1,1,0,0,
16,Filip Chytil\chytifi01,C,NYR,@,TBL,L,boxscore,2,0,2,1,0,2,0,0,0,0,0,0,3,66.7,20,15:08,0,1,7,5,58.3
17,Tomas Hertl\hertlto01,C,SJS,@,ANA,W,boxscore,2,0,2,1,0,2,0,0,0,0,0,0,4,50.0,19,14:12,0,1,7,4,63.6
18,Vincent Trocheck\trochvi01,C,FLA,,WPG,L,boxscore,2,0,2,1,0,2,0,0,0,0,0,0,6,33.3,19,17:57,1,0,4,2,66.7
19,Ryan Nugent-Hopkins\nugenry01,C,EDM,,COL,W,boxscore,2,0,2,0,2,1,1,0,0,0,0,0,4,50.0,23,18:35,1,3,6,2,75.0
20,Jeff Skinner\skinnje01,LW/C,BUF,,CAR,L-OT,boxscore,1,1,2,4,0,1,0,0,0,1,0,0,6,16.7,20,19:23,1,0,0,3,0.0
21,Sebastian Aho\ahose01,F,CAR,@,BUF,W,boxscore,1,1,2,2,2,0,1,0,0,1,0,0,3,33.3,30,22:14,0,0,12,6,66.7
22,Logan Couture\coutulo01,C,SJS,@,ANA,W,boxscore,1,1,2,1,0,1,0,0,0,0,0,1,3,33.3,27,19:46,0,0,4,6,40.0
23,Dougie Hamilton\hamildo01,D,CAR,@,BUF,W,boxscore,1,1,2,1,0,1,0,0,1,0,1,0,3,33.3,33,25:18,2,0,0,0,
24,Alex Iafallo\iafalal01,C,LAK,,DET,W,boxscore,1,1,2,1,0,1,0,0,1,1,0,0,3,33.3,24,17:22,0,0,1,0,100.0
25,Evander Kane\kaneev01,LW,SJS,@,ANA,W,boxscore,1,1,2,1,0,0,0,1,1,0,1,0,3,33.3,24,19:33,2,0,1,0,100.0
26,Zach Parise\parisza01,LW,MIN,,ARI,W,boxscore,1,1,2,1,0,0,1,0,0,1,0,0,3,33.3,25,17:17,0,3,1,0,100.0
27,Tyler Seguin\seguity01,C,DAL,@,VAN,W,boxscore,1,1,2,1,2,1,0,0,1,1,0,0,5,20.0,30,18:27,1,0,11,4,73.3
28,Kevin Shattenkirk\shattke01,D,TBL,,NYR,W,boxscore,1,1,2,0,0,1,0,0,0,1,0,0,5,20.0,22,20:45,0,1,0,0,
29,Brent Burns\burnsbr01,D/RW,SJS,@,ANA,W,boxscore,1,1,2,-1,2,0,1,0,0,1,0,0,4,25.0,29,23:37,0,0,0,0,
30,Rickard Rakell\rakelri01,RW,ANA,,SJS,L,boxscore,1,1,2,-1,0,1,0,0,0,0,1,0,6,16.7,26,20:02,0,0,0,0,
31,Jakob Silfverberg\silfvja01,LW,ANA,,SJS,L,boxscore,1,1,2,-1,0,0,1,0,0,1,0,0,3,33.3,25,17:21,1,0,0,2,0.0
32,Artemi Panarin\panarar01,LW,NYR,@,TBL,L,boxscore,0,2,2,3,0,0,0,0,0,2,0,0,6,0.0,23,20:59,0,0,0,0,
33,Miro Heiskanen\heiskmi01,D,DAL,@,VAN,W,boxscore,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,30,23:55,0,2,0,0,
34,Timo Meier\meierti01,RW,SJS,@,ANA,W,boxscore,0,2,2,1,0,0,0,0,0,2,0,0,3,0.0,21,15:57,1,1,0,0,
35,Joe Pavelski\paveljo01,C,DAL,@,VAN,W,boxscore,0,2,2,1,2,0,0,0,0,2,0,0,3,0.0,29,18:21,0,1,9,3,75.0
36,Keith Yandle\yandlke01,D,FLA,,WPG,L,boxscore,0,2,2,1,0,0,0,0,0,1,1,0,2,0.0,26,27:03,1,1,0,0,
37,Mike Hoffman\hoffmmi02,C/LW,FLA,,WPG,L,boxscore,0,2,2,0,0,0,0,0,0,1,1,0,3,0.0,18,18:21,0,0,0,0,
38,Anthony Mantha\manthan01,RW,DET,@,LAK,L-OT,boxscore,0,2,2,0,0,0,0,0,0,2,0,0,2,0.0,24,18:09,0,4,0,0,
39,Johan Larsson\larssjo02,LW/C,BUF,,CAR,L-OT,boxscore,1,0,1,2,2,1,0,0,0,0,0,0,1,100.0,17,13:59,2,1,3,7,30.0
40,Josh Morrissey\morrijo04,D,WPG,@,FLA,W,boxscore,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,25,20:48,0,1,0,0,
41,Aleksander Barkov\barkoal01,C,FLA,,WPG,L,boxscore,1,0,1,1,0,0,1,0,0,0,0,0,5,20.0,22,20:39,0,0,7,9,43.8
42,Blake Comeau\comeabl01,RW,DAL,@,VAN,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,25,16:38,2,0,0,0,
43,Nikolaj Ehlers\ehlerni01,LW,WPG,@,FLA,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,22,17:51,1,0,0,0,
44,Kevin Fiala\fialake01,LW,MIN,,ARI,W,boxscore,1,0,1,1,2,1,0,0,0,0,0,0,4,25.0,22,15:12,1,0,0,0,
45,Max Jones\jonesma03,LW,ANA,,SJS,L,boxscore,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,19,11:20,0,0,1,1,50.0
46,Adrian Kempe\kempead01,LW,LAK,,DET,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,18,15:40,0,0,0,1,0.0
47,Adam Lowry\lowryad01,LW,WPG,@,FLA,W,boxscore,1,0,1,1,0,1,0,0,1,0,0,0,4,25.0,23,18:38,3,0,9,5,64.3
48,Ondrej Palat\palaton01,LW,TBL,,NYR,W,boxscore,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,21,16:00,0,1,0,0,
49,Alexander Radulov\radulal01,RW,DAL,@,VAN,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,24,16:55,0,0,0,0,
50,Luke Schenn\schenlu01,D,TBL,,NYR,W,boxscore,1,0,1,1,4,1,0,0,0,0,0,0,4,25.0,21,16:11,4,1,0,0,
51,Lawson Crouse\crousla01,LW,ARI,@,MIN,L,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,19,13:08,2,1,1,0,100.0
52,Justin Dowling\dowliju01,C,DAL,@,VAN,W,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,21,12:26,1,1,1,1,50.0
53,Conor Garland\garlaco01,RW,ARI,@,MIN,L,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,21,16:30,0,0,0,0,
54,Jordan Greenway\greenjo02,LW,MIN,,ARI,W,boxscore,1,0,1,0,0,1,0,0,1,0,0,0,1,100.0,19,15:24,0,2,0,0,
55,Henri Jokiharju\jokihhe01,D,BUF,,CAR,L-OT,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,23,15:28,2,0,0,0,
56,Zack Kassian\kassiza01,RW,EDM,,COL,W,boxscore,1,0,1,0,5,1,0,0,1,0,0,0,3,33.3,16,12:07,2,0,0,0,
57,Chris Kreider\kreidch01,LW,NYR,@,TBL,L,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,25,20:29,1,1,2,4,33.3
58,Curtis Lazar\lazarcu01,C/RW,BUF,,CAR,L-OT,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,16,8:47,2,2,1,1,50.0
