,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,Matthew Tkachuk\tkachma01,LW,CGY,,ARI,W,boxscore,2,1,3,1,0,1,1,0,1,0,1,0,3,66.7,24,21:34,0,0,0,0,
2,Reilly Smith\smithre01,RW,VEG,@,CBJ,W,boxscore,2,0,2,2,0,1,0,1,1,0,0,0,3,66.7,21,19:19,1,0,0,0,
3,Victor Mete\metevi01,D,MTL,,BOS,W,boxscore,2,0,2,1,2,2,0,0,0,0,0,0,5,40.0,27,20:53,0,3,0,0,
4,Radek Faksa\faksara01,C,DAL,,COL,W,boxscore,2,0,2,0,0,1,1,0,1,0,0,0,7,28.6,22,14:51,0,0,3,5,37.5
5,Casey Cizikas\cizikca01,C,NYI,,OTT,W,boxscore,1,1,2,2,0,0,0,1,0,1,0,0,5,20.0,24,15:40,1,0,15,5,75.0
6,Cal Clutterbuck\cluttca01,RW,NYI,,OTT,W,boxscore,1,1,2,2,0,1,0,0,0,0,0,1,2,50.0,23,16:48,4,2,0,0,
7,Claude Giroux\giroucl01,C/RW,PHI,,CAR,W,boxscore,1,1,2,2,0,1,0,0,0,1,0,0,5,20.0,26,18:45,1,0,12,8,60.0
8,Auston Matthews\matthau01,C,TOR,,LAK,W,boxscore,1,1,2,2,0,1,0,0,1,1,0,0,2,50.0,24,18:41,0,2,6,2,75.0
9,Timo Meier\meierti01,RW,SJS,,CHI,W,boxscore,1,1,2,2,2,1,0,0,0,1,0,0,2,50.0,23,17:19,2,1,0,1,0.0
10,William Nylander\nylanwi01,C,TOR,,LAK,W,boxscore,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,22,16:11,0,0,3,5,37.5
11,Ben Chiarot\chiarbe01,D,MTL,,BOS,W,boxscore,1,1,2,1,0,1,0,0,1,1,0,0,2,50.0,28,23:13,0,1,0,0,
12,Tomas Hertl\hertlto01,C,SJS,,CHI,W,boxscore,1,1,2,1,0,1,0,0,1,1,0,0,3,33.3,24,18:45,1,0,8,7,53.3
13,Tomas Tatar\tatarto01,C,MTL,,BOS,W,boxscore,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,26,15:53,1,0,0,0,
14,Mats Zuccarello\zuccama01,LW,MIN,@,ANA,W,boxscore,1,1,2,1,2,1,0,0,0,1,0,0,2,50.0,20,15:29,0,0,0,0,
15,Mark Giordano\giordma01,D,CGY,,ARI,W,boxscore,1,1,2,0,0,1,0,0,0,0,1,0,9,11.1,31,28:50,0,0,0,0,
16,William Karlsson\karlswi01,C,VEG,@,CBJ,W,boxscore,0,2,2,2,0,0,0,0,0,1,0,1,4,0.0,21,19:15,1,0,4,11,26.7
17,Matt Niskanen\niskama01,D,PHI,,CAR,W,boxscore,0,2,2,2,0,0,0,0,0,1,1,0,1,0.0,30,21:26,2,2,0,0,
18,Jeff Petry\petryje01,D,MTL,,BOS,W,boxscore,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,30,24:41,2,1,0,0,
19,Barclay Goodrow\goodrba01,RW,SJS,,CHI,W,boxscore,0,2,2,1,0,0,0,0,0,2,0,0,4,0.0,21,17:14,1,1,4,3,57.1
20,Zachary Senyshyn\senysza01,RW,BOS,@,MTL,L,boxscore,0,2,2,1,0,0,0,0,0,2,0,0,1,0.0,17,10:49,0,0,0,0,
21,Rasmus Andersson\anderra01,D,CGY,,ARI,W,boxscore,0,2,2,0,0,0,0,0,0,2,0,0,0,,28,21:53,0,1,0,0,
22,Sean Monahan\monahse01,C,CGY,,ARI,W,boxscore,0,2,2,-1,0,0,0,0,0,1,1,0,1,0.0,27,22:34,2,0,11,5,68.8
23,Anders Bjork\bjorkan01,LW,BOS,@,MTL,L,boxscore,1,0,1,3,0,1,0,0,0,0,0,0,6,16.7,19,12:07,0,0,0,0,
24,Paul Byron\byronpa01,C/LW,MTL,,BOS,W,boxscore,1,0,1,3,0,1,0,0,0,0,0,0,1,100.0,23,12:42,2,2,0,0,
25,Josh Bailey\bailejo01,C,NYI,,OTT,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,24,18:03,0,0,3,2,60.0
26,Cole Bardreau\bardrco01,F,NYI,,OTT,W,boxscore,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,15,10:42,1,1,2,2,50.0
27,Tyler Bozak\bozakty01,C,STL,@,VAN,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,22,15:15,0,0,7,4,63.6
28,Andrew Copp\coppan01,C,WPG,,NJD,L-SO,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,22,16:21,0,3,0,1,0.0
29,Sean Couturier\coutuse01,C,PHI,,CAR,W,boxscore,1,0,1,1,0,0,1,0,0,0,0,0,2,50.0,25,18:45,0,0,1,0,100.0
30,Jason Dickinson\dickija01,C,DAL,,COL,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,24,17:05,1,1,2,3,40.0
31,Joel Farabee\farabjo01,LW,PHI,,CAR,W,boxscore,1,0,1,1,2,1,0,0,0,0,0,0,5,20.0,22,15:31,0,0,0,0,
32,Quinn Hughes\hughequ01,D,VAN,,STL,L-OT,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,25,20:18,0,0,0,0,
33,Boone Jenner\jennebo01,C,CBJ,,VEG,L,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,22,17:14,0,1,7,5,58.3
34,Clayton Keller\kellecl01,C,ARI,@,CGY,L-OT,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,21,16:39,0,0,2,1,66.7
35,Alexander Kerfoot\kerfoal01,C,TOR,,LAK,W,boxscore,1,0,1,1,2,1,0,0,0,0,0,0,1,100.0,17,12:33,0,0,7,3,70.0
36,Travis Konecny\konectr01,C,PHI,,CAR,W,boxscore,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,22,18:04,1,0,0,3,0.0
37,Jacob Larsson\larssja01,D,ANA,,MIN,L,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,23,14:33,0,0,0,0,
38,Patrick Marleau\marlepa01,C,SJS,,CHI,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,17,16:12,1,1,2,0,100.0
39,Jean-Gabriel Pageau\pageaje01,C,OTT,@,NYI,L,boxscore,1,0,1,1,0,0,0,1,0,0,0,0,3,33.3,30,16:38,0,0,3,11,21.4
40,Corey Perry\perryco01,RW,DAL,,COL,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,14,12:42,0,0,0,0,
41,Jaden Schwartz\schwaja01,C,STL,@,VAN,W,boxscore,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,20,17:06,1,2,0,0,
42,Eric Staal\staaler01,C,MIN,@,ANA,W,boxscore,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,22,15:04,0,0,10,3,76.9
43,Connor Clifton\cliftco01,D,BOS,@,MTL,L,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,22,17:47,3,0,0,0,
44,J.T. Compher\comphj.01,LW,COL,@,DAL,L,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,24,19:17,0,2,2,5,28.6
45,Christian Dvorak\dvorach01,C,ARI,@,CGY,L-OT,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,26,15:34,0,0,9,6,60.0
46,Kevin Fiala\fialake01,LW,MIN,@,ANA,W,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,13,11:13,0,0,0,0,
47,Vinnie Hinostroza\hinosvi01,C,ARI,@,CGY,L-OT,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,17,11:29,0,1,0,1,0.0
48,Nico Hischier\hischni01,C,NJD,@,WPG,W,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,26,19:58,1,1,5,12,29.4
49,Evander Kane\kaneev01,LW,SJS,,CHI,W,boxscore,1,0,1,0,0,0,0,1,0,0,0,0,2,50.0,21,18:38,4,0,0,1,0.0
50,Duncan Keith\keithdu01,D,CHI,@,SJS,L,boxscore,1,0,1,0,2,1,0,0,0,0,0,0,3,33.3,23,25:10,0,1,0,0,
