,,,,,,Scoring,Scoring,Scoring,,,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS?,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
221,Noah Hanifin\hanifno01,23,CGY,D,19,3,4,7,-6,2,1.1,2,1,0,0,3,1,0,34,8.8,400,21:02,23,25,0,0,
222,Kevin Hayes\hayeske01,27,PHI,RW,15,4,3,7,-5,6,0.5,2,1,1,1,3,0,0,45,8.9,271,18:03,1,20,83,96,46.4
223,Nico Hischier\hischni01,21,NJD,C,12,2,5,7,-5,2,0.3,2,0,0,0,4,1,0,23,8.7,198,16:31,5,5,105,74,58.7
224,Dominik Kahun\kahundo01,24,PIT,C,15,3,4,7,6,4,0.9,3,0,0,1,4,0,0,23,13.0,180,12:01,4,3,7,4,63.6
225,Chris Kreider\kreidch01,28,NYR,LW,14,3,4,7,-3,10,0.5,2,1,0,1,3,1,0,29,10.3,243,17:22,10,25,16,15,51.6
226,Gabriel Landeskog\landega01,27,COL,LW,11,3,4,7,-4,14,0.4,3,0,0,2,2,2,0,26,11.5,224,20:22,6,20,35,44,44.3
227,Casey Mittelstadt\mitteca01,21,BUF,C,15,3,4,7,5,2,0.9,2,1,0,1,3,1,0,18,16.7,180,12:01,2,5,51,52,49.5
228,Alexander Nylander\nylanal01,21,CHI,LW,14,2,5,7,0,0,0.6,2,0,0,1,4,1,0,27,7.4,179,12:46,3,6,2,6,25.0
229,Dmitry Orlov\orlovdm01,28,WSH,D,17,1,6,7,-7,10,0.3,0,1,0,0,5,1,0,21,4.8,363,21:22,19,25,0,0,
230,Brandon Saad\saadbr01,27,CHI,LW,15,5,2,7,-4,4,0.7,4,0,1,0,2,0,0,37,13.5,241,16:02,4,8,5,6,45.5
231,Justin Schultz\schulju01,29,PIT,D,16,1,6,7,-1,0,1.0,1,0,0,0,3,3,0,44,2.3,333,20:47,13,9,0,0,
232,Ryan Suter\suterry01,35,MIN,D,16,2,5,7,-5,8,1.1,1,1,0,0,3,2,0,26,7.7,390,24:24,13,10,0,0,
233,Brandon Tanev\tanevbr01,28,PIT,LW,16,3,4,7,1,2,0.7,2,0,1,1,4,0,0,24,12.5,232,14:29,10,50,0,1,0.0
234,Chris Tierney\tiernch01,25,OTT,C,15,3,4,7,-4,4,0.4,1,1,1,0,4,0,0,23,13.0,272,18:06,9,13,133,102,56.6
235,Jacob Trouba\troubja01,25,NYR,D,14,1,6,7,0,6,1.0,1,0,0,0,2,3,1,40,2.5,327,23:21,32,25,0,0,
236,Frank Vatrano\vatrafr01,25,FLA,LW,15,4,3,7,0,4,0.6,3,0,1,0,3,0,0,39,10.3,236,15:43,12,11,4,8,33.3
237,Pavel Zacha\zachapa01,22,NJD,C,13,2,5,7,-2,4,0.4,2,0,0,0,5,0,0,20,10.0,206,15:49,3,7,27,39,40.9
238,Mats Zuccarello\zuccama01,32,MIN,LW,12,3,4,7,-7,10,0.5,2,1,0,0,3,1,0,14,21.4,186,15:29,5,1,2,1,66.7
239,Rasmus Andersson\anderra01,23,CGY,D,19,2,4,6,1,6,1.4,2,0,0,0,3,1,0,35,5.7,354,18:38,14,7,0,0,
240,Jamie Benn\bennja01,30,DAL,LW,17,1,5,6,-1,4,0.3,0,1,0,0,4,1,0,37,2.7,288,16:57,14,33,50,37,57.5
241,Oliver Bjorkstrand\bjorkol01,24,CBJ,RW,16,4,2,6,-4,4,0.5,3,1,0,1,2,0,0,48,8.3,265,16:32,8,13,1,8,11.1
242,Brandon Carlo\carlobr01,23,BOS,D,15,2,4,6,3,4,1.3,2,0,0,0,4,0,0,22,9.1,302,20:07,8,19,0,0,
243,Jeff Carter\carteje01,35,LAK,C,16,4,2,6,-6,12,0.3,4,0,0,1,2,0,0,55,7.3,285,17:50,8,11,101,81,55.5
244,Jakob Chychrun\chychja01,21,ARI,D,16,3,3,6,0,8,1.3,2,1,0,1,2,1,0,37,8.1,341,21:21,16,13,0,0,
245,Anthony Cirelli\cirelan01,22,TBL,C,12,1,5,6,3,12,0.3,1,0,0,0,3,2,0,17,5.9,214,17:52,8,11,75,103,42.1
246,Ian Cole\coleia01,30,COL,D,11,0,6,6,8,14,1.3,0,0,0,0,6,0,0,9,0.0,191,17:21,16,14,0,0,
247,Nick Cousins\cousini01,26,MTL,C,10,2,4,6,6,0,0.8,2,0,0,0,4,0,0,19,10.5,135,13:30,1,12,4,6,40.0
248,Jake Debrusk\debruja01,23,BOS,LW,15,3,3,6,1,2,0.6,3,0,0,0,2,1,0,34,8.8,244,16:14,4,4,2,3,40.0
249,Mathew Dumba\dumbama01,25,MIN,D,16,1,5,6,-13,15,0.2,1,0,0,0,2,3,0,35,2.9,369,23:03,19,20,0,0,
250,Brian Dumoulin\dumoubr01,28,PIT,D,12,1,5,6,11,6,1.7,0,0,1,0,4,1,0,22,4.5,258,21:31,13,21,0,0,
251,Radek Faksa\faksara01,26,DAL,C,17,4,2,6,-8,8,0.4,3,1,0,1,2,0,0,30,13.3,276,16:16,8,14,109,104,51.2
252,Justin Faulk\faulkju01,27,STL,D,17,0,6,6,-5,8,0.5,0,0,0,0,5,1,0,32,0.0,352,20:42,12,15,0,0,
253,Taylor Fedun\fedunta01,31,DAL,D,14,0,6,6,5,4,1.3,0,0,0,0,6,0,0,18,0.0,193,13:47,11,8,0,0,
254,Marcus Foligno\foligma01,28,MIN,LW,16,2,4,6,2,2,0.6,2,0,0,0,4,0,0,24,8.3,230,14:23,7,49,5,2,71.4
255,Nick Foligno\foligni01,32,CBJ,LW,16,1,5,6,-3,4,0.2,0,1,0,0,4,0,1,31,3.2,286,17:53,7,28,48,40,54.5
256,Samuel Girard\girarsa01,21,COL,D,16,0,6,6,-4,2,0.4,0,0,0,0,4,2,0,22,0.0,357,22:18,22,11,0,0,
257,Michael Grabner\grabnmi01,32,ARI,RW,16,4,2,6,3,0,0.8,3,0,1,0,2,0,0,26,15.4,220,13:47,3,3,0,1,0.0
258,Denis Gurianov\guriade01,22,DAL,RW,13,4,2,6,5,2,1.0,3,1,0,2,1,1,0,35,11.4,154,11:52,1,16,0,0,
259,Garnet Hathaway\hathaga01,28,WSH,RW,17,2,4,6,3,11,0.5,2,0,0,0,3,0,1,19,10.5,207,12:10,13,41,0,7,0.0
260,Danton Heinen\heineda01,24,BOS,C,15,3,3,6,2,0,0.7,1,2,0,2,3,0,0,16,18.8,207,13:46,10,4,1,2,33.3
261,Mattias Janmark\janmama02,27,DAL,C,17,1,5,6,1,2,0.5,0,0,1,0,4,0,1,15,6.7,244,14:19,7,5,7,2,77.8
262,Tyson Jost\jostty01,21,COL,C,16,4,2,6,2,6,0.7,4,0,0,0,2,0,0,35,11.4,215,13:28,2,8,26,51,33.8
263,Duncan Keith\keithdu01,36,CHI,D,15,1,5,6,2,10,1.2,1,0,0,0,3,2,0,27,3.7,374,24:56,29,5,0,0,
264,Alex Killorn\killoal01,30,TBL,C,13,2,4,6,3,0,0.4,1,1,0,0,3,1,0,23,8.7,231,17:48,4,8,3,4,42.9
265,Mikko Koivu\koivumi01,36,MIN,C,16,1,5,6,-2,4,0.2,1,0,0,0,3,2,0,33,3.0,283,17:41,10,3,138,120,53.5
266,Dominik Kubalík\kubaldo01,24,CHI,LW,14,3,3,6,-1,6,0.6,2,1,0,0,1,2,0,37,8.1,185,13:13,6,27,0,2,0.0
267,Luke Kunin\kuninlu01,22,MIN,C,16,3,3,6,-8,19,0.3,3,0,0,0,3,0,0,39,7.7,261,16:17,11,15,50,57,46.7
268,Sam Lafferty\laffesa01,24,PIT,C,10,3,3,6,4,4,0.8,3,0,0,1,3,0,0,18,16.7,134,13:27,5,16,37,37,50.0
269,Nick Leddy\leddyni01,28,NYI,D,11,2,4,6,6,2,1.5,1,1,0,0,4,0,0,15,13.3,216,19:39,14,7,0,0,
270,Artturi Lehkonen\lehkoar01,24,MTL,LW,16,2,4,6,0,14,0.4,2,0,0,1,4,0,0,28,7.1,225,14:06,11,19,2,2,50.0
271,Andrew Mangiapane\mangian01,23,CGY,LW,17,3,3,6,2,8,0.7,3,0,0,1,3,0,0,24,12.5,200,11:45,4,15,3,10,23.1
272,Sonny Milano\milanso01,23,CBJ,LW,14,3,3,6,0,12,0.7,3,0,0,1,3,0,0,19,15.8,143,10:14,1,7,0,0,
273,Nino Niederreiter\niedeni01,27,CAR,RW,16,2,4,6,-3,14,0.3,1,1,0,0,3,1,0,33,6.1,257,16:04,5,12,0,2,0.0
274,Nick Paul\paulni01,24,OTT,LW,10,2,4,6,3,4,0.7,2,0,0,1,3,1,0,17,11.8,147,14:43,7,26,38,21,64.4
275,Tanner Pearson\pearsta01,27,VAN,LW,16,2,4,6,-2,6,0.3,2,0,0,0,3,1,0,49,4.1,266,16:37,7,14,0,5,0.0
276,Michael Raffl\rafflmi01,31,PHI,LW,15,3,3,6,-3,2,0.5,3,0,0,1,3,0,0,20,15.0,184,12:16,7,15,21,21,50.0
277,Jack Roslovic\rosloja01,23,WPG,C,16,2,4,6,1,2,0.5,2,0,0,0,3,1,0,29,6.9,225,14:05,2,12,34,24,58.6
278,Bryan Rust\rustbr01,27,PIT,RW,5,4,2,6,7,0,1.2,4,0,0,1,1,0,1,10,40.0,72,14:30,3,3,0,0,
279,Wayne Simmonds\simmowa01,31,NJD,RW,14,1,5,6,-2,8,0.2,0,1,0,0,4,1,0,41,2.4,221,15:46,5,21,3,4,42.9
280,Craig Smith\smithcr01,30,NSH,C,16,2,4,6,7,8,0.6,2,0,0,0,4,0,0,34,5.9,217,13:35,6,12,2,7,22.2
281,Sam Steel\steelsa01,21,ANA,C,13,0,6,6,-5,6,0.1,0,0,0,0,3,3,0,13,0.0,199,15:16,3,3,60,51,54.1
282,Derek Stepan\stepade01,29,ARI,C,16,2,4,6,-3,4,0.2,2,0,0,1,2,2,0,33,6.1,309,19:17,11,6,117,131,47.2
283,Anton Stralman\stralan01,33,FLA,D,15,0,6,6,-1,2,0.6,0,0,0,0,5,0,1,19,0.0,311,20:45,18,17,0,0,
284,Nick Suzuki\suzukni01,20,MTL,C,16,3,3,6,3,2,0.6,3,0,0,0,2,1,0,21,14.3,221,13:47,7,11,20,24,45.5
285,Shea Theodore\theodsh01,24,VEG,D,17,1,5,6,-4,4,0.9,1,0,0,0,1,4,0,39,2.6,367,21:34,17,7,0,0,
286,Jonathan Toews\toewsjo01,31,CHI,C,15,2,4,6,-3,14,0.2,2,0,0,1,4,0,0,34,5.9,295,19:41,8,7,138,131,51.3
287,Vincent Trocheck\trochvi01,26,FLA,C,8,1,5,6,-2,0,0.3,0,0,1,0,4,1,0,27,3.7,156,19:28,8,9,46,54,46.0
288,Sean Walker\walkese01,25,LAK,D,16,3,3,6,3,6,1.3,3,0,0,0,3,0,0,28,10.7,298,18:38,23,15,0,0,
289,Austin Watson\watsoau01,28,NSH,LW,16,3,3,6,4,14,0.6,3,0,0,1,1,0,2,16,18.8,205,12:48,17,30,1,2,33.3
290,Alexander Wennberg\wennbal01,25,CBJ,C,16,2,4,6,-3,4,0.3,1,1,0,0,2,2,0,18,11.1,298,18:38,6,4,115,102,53.0
291,Zach Werenski\werenza01,22,CBJ,D,16,3,3,6,-8,2,0.9,2,1,0,0,2,1,0,41,7.3,378,23:37,18,11,0,0,
292,Michael Amadio\amadimi01,23,LAK,C,14,3,2,5,-6,4,0.2,3,0,0,0,1,1,0,34,8.8,199,14:15,7,5,63,71,47.0
293,Zach Aston-Reese\astonza01,25,PIT,C,16,3,2,5,2,10,0.5,2,0,1,0,2,0,0,35,8.6,230,14:23,8,28,2,3,40.0
294,Ivan Barbashev\barbaiv01,24,STL,C,17,1,4,5,-1,5,0.2,0,0,1,0,4,0,0,14,7.1,226,13:19,10,33,37,49,43.0
295,Tyson Barrie\barrity01,28,TOR,D,17,0,5,5,-4,6,0.2,0,0,0,0,4,1,0,39,0.0,371,21:50,13,10,0,0,
296,Sam Bennett\bennesa01,23,CGY,C,17,3,2,5,3,14,0.6,3,0,0,0,1,1,0,29,10.3,226,13:19,5,27,29,28,50.9
297,Teddy Blueger\bluegte01,25,PIT,C,16,2,3,5,-3,17,0.2,2,0,0,0,3,0,0,22,9.1,235,14:41,5,16,90,97,48.1
298,Mark Borowiecki\borowma01,30,OTT,D,15,1,4,5,4,27,1.0,1,0,0,0,4,0,0,17,5.9,238,15:52,26,44,0,0,
299,Jesper Bratt\brattje01,21,NJD,W,11,3,2,5,0,2,0.5,3,0,0,0,2,0,0,12,25.0,140,12:46,2,2,1,3,25.0
300,Will Butcher\butchwi01,25,NJD,D,12,1,4,5,-3,2,0.5,1,0,0,0,4,0,0,10,10.0,213,17:47,11,5,0,0,
301,Ryan Carpenter\carpery01,29,CHI,C,15,0,5,5,3,6,0.3,0,0,0,0,4,0,1,10,0.0,203,13:31,9,21,70,68,50.7
302,Zdeno Chara\charazd01,42,BOS,D,15,2,3,5,13,14,1.9,2,0,0,1,3,0,0,26,7.7,324,21:37,23,13,0,0,
303,Ben Chiarot\chiarbe01,28,MTL,D,16,3,2,5,5,10,1.2,3,0,0,1,2,0,0,31,9.7,338,21:09,19,29,0,0,
304,Casey Cizikas\cizikca01,28,NYI,C,10,2,3,5,6,9,0.7,1,0,1,0,2,0,1,16,12.5,152,15:11,10,19,79,52,60.3
305,Kyle Clifford\cliffky01,29,LAK,LW,16,2,3,5,1,11,0.4,2,0,0,0,3,0,0,27,7.4,175,10:55,2,20,0,2,0.0
306,Cal Clutterbuck\cluttca01,32,NYI,RW,15,2,3,5,8,16,0.7,1,0,1,0,2,0,1,18,11.1,213,14:12,18,42,1,0,100.0
307,Max Comtois\comtoma01,21,ANA,LW,12,2,3,5,0,6,0.4,1,1,0,0,3,0,0,15,13.3,171,14:17,3,21,1,7,12.5
308,Charlie Coyle\coylech01,27,BOS,C,15,2,3,5,-1,2,0.3,2,0,0,0,3,0,0,29,6.9,237,15:47,2,14,69,75,47.9
309,Vince Dunn\dunnvi02,23,STL,D,17,2,3,5,3,4,1.2,0,2,0,0,1,2,0,34,5.9,272,15:59,8,6,0,0,
310,Tyler Ennis\ennisty01,30,OTT,C,15,3,2,5,-11,8,0.0,1,2,0,0,2,0,0,32,9.4,243,16:11,8,13,4,4,50.0
311,Joel Eriksson Ek\eriksjo02,23,MIN,C,13,1,4,5,2,2,0.4,1,0,0,0,4,0,0,22,4.5,191,14:41,13,20,58,65,47.2
312,Micheal Ferland\ferlami01,27,VAN,LW,12,1,4,5,-1,7,0.4,1,0,0,0,4,0,0,13,7.7,124,10:21,1,26,2,0,100.0
313,Warren Foegele\foegewa01,23,CAR,LW,16,1,4,5,1,6,0.3,1,0,0,0,4,0,0,23,4.3,188,11:45,1,23,4,5,44.4
314,Adam Fox\foxad01,21,NYR,D,14,2,3,5,2,2,1.0,2,0,0,0,2,1,0,20,10.0,240,17:08,16,4,0,0,
315,Jake Gardiner\gardija01,29,CAR,D,16,1,4,5,-5,6,0.5,1,0,0,1,3,1,0,18,5.6,284,17:47,12,11,0,0,
316,Shayne Gostisbehere\gostish01,26,PHI,D,15,1,4,5,-4,10,0.6,1,0,0,0,1,3,0,30,3.3,286,19:04,10,4,0,0,
317,Yanni Gourde\gourdya01,28,TBL,C,13,2,3,5,1,9,0.3,2,0,0,0,2,1,0,24,8.3,184,14:07,5,7,37,36,50.7
318,Derek Grant\grantde01,29,ANA,C,17,2,3,5,-2,4,0.3,2,0,0,1,3,0,0,25,8.0,234,13:45,6,10,104,97,51.7
319,Ryan Graves\gravery01,24,COL,D,15,2,3,5,7,6,1.3,2,0,0,0,2,0,1,18,11.1,237,15:47,33,17,0,0,
320,Jordan Greenway\greenjo02,22,MIN,LW,14,0,5,5,3,8,0.4,0,0,0,0,4,1,0,19,0.0,189,13:30,4,26,7,6,53.8
321,Radko Gudas\gudasra01,29,WSH,D,17,0,5,5,9,19,1.2,0,0,0,0,5,0,0,24,0.0,298,17:32,26,36,0,0,
322,Nikita Gusev\gusevni01,27,NJD,LW,11,4,1,5,-1,6,0.6,4,0,0,0,1,0,0,21,19.0,139,12:38,0,2,0,0,
323,Carl Hagelin\hagelca01,31,WSH,LW,17,0,5,5,1,2,0.1,0,0,0,0,4,0,1,27,0.0,241,14:10,2,8,4,4,50.0
324,Ville Heinola\heinovi01,18,WPG,D,8,1,4,5,3,4,1.0,1,0,0,0,3,1,0,10,10.0,145,18:04,5,3,0,0,
325,Darren Helm\helmda01,33,DET,C,17,4,1,5,5,19,0.8,4,0,0,0,1,0,0,32,12.5,212,12:29,6,14,4,4,50.0
326,Taro Hirose\hirosta01,23,DET,LW,17,0,5,5,-8,4,-0.1,0,0,0,0,0,5,0,11,0.0,223,13:07,6,8,0,3,0.0
327,Alex Iafallo\iafalal01,26,LAK,C,16,3,2,5,-2,2,0.3,2,1,0,1,2,0,0,31,9.7,278,17:21,8,8,5,2,71.4
328,Boone Jenner\jennebo01,26,CBJ,C,16,4,1,5,-9,8,0.3,4,0,0,0,1,0,0,35,11.4,248,15:29,10,25,99,79,55.6
329,Henri Jokiharju\jokihhe01,20,BUF,D,15,1,4,5,1,10,1.0,1,0,0,0,4,0,0,20,5.0,248,16:34,17,10,0,0,
330,Mathieu Joseph\josepma01,22,TBL,RW,13,3,2,5,0,6,0.4,3,0,0,0,2,0,0,17,17.6,162,12:30,4,9,2,5,28.6
331,Kaapo Kakko\kakkoka01,18,NYR,RW,14,3,2,5,-10,4,0.0,2,1,0,0,0,2,0,26,11.5,212,15:09,0,7,0,1,0.0
332,David Kampf\kampfda01,25,CHI,C,15,3,2,5,-3,0,0.3,2,0,1,1,2,0,0,30,10.0,227,15:09,8,11,71,73,49.3
333,Ondrej Kase\kaseon01,24,ANA,RW,12,1,4,5,5,2,0.5,1,0,0,0,4,0,0,27,3.7,181,15:06,0,5,1,4,20.0
334,David Krejci\krejcda01,33,BOS,C,9,1,4,5,4,4,0.5,0,1,0,1,4,0,0,15,6.7,143,15:54,6,3,39,43,47.6
335,Brendan Leipsic\leipsbr01,25,WSH,LW,17,1,4,5,1,0,0.3,1,0,0,0,3,1,0,17,5.9,158,9:18,5,11,0,3,0.0
336,Brendan Lemieux\lemiebr01,23,NYR,LW,13,1,4,5,2,26,0.4,0,1,0,0,3,1,0,20,5.0,169,12:58,16,22,5,5,50.0
337,Bryan Little\littlbr01,32,WPG,RW,7,2,3,5,4,2,0.7,2,0,0,1,3,0,0,13,15.4,113,16:09,3,3,43,54,44.3
338,Alec Martinez\martial01,32,LAK,D,16,0,5,5,0,10,0.7,0,0,0,0,4,1,0,19,0.0,345,21:33,33,10,0,0,
339,Ryan McDonagh\mcdonry01,30,TBL,D,13,1,4,5,0,4,0.6,1,0,0,0,4,0,0,13,7.7,291,22:21,25,7,0,0,
340,Victor Mete\metevi01,21,MTL,D,16,3,2,5,7,4,1.4,3,0,0,1,2,0,0,20,15.0,287,17:58,23,4,0,0,
341,Trevor Moore\mooretr01,24,TOR,LW,17,3,2,5,2,4,0.4,3,0,0,0,1,0,1,30,10.0,246,14:27,9,30,2,4,33.3
342,Riley Nash\nashri02,30,CBJ,C,16,1,4,5,1,2,0.4,0,0,1,0,4,0,0,11,9.1,175,10:57,9,12,37,68,35.2
343,Kyle Okposo\okposky01,31,BUF,RW,15,1,4,5,0,16,0.4,1,0,0,1,4,0,0,16,6.3,169,11:16,3,15,9,6,60.0
344,Zach Parise\parisza01,35,MIN,LW,16,4,1,5,-12,2,0.1,3,1,0,1,1,0,0,31,12.9,274,17:08,8,9,8,6,57.1
345,Adam Pelech\pelecad01,25,NYI,D,15,1,4,5,7,6,1.5,1,0,0,0,3,0,1,22,4.5,327,21:46,38,30,0,0,
346,Mathieu Perreault\perrema01,32,WPG,C,16,4,1,5,-6,2,0.4,3,1,0,0,1,0,0,26,15.4,211,13:11,4,16,5,2,71.4
347,Marcus Pettersson\pettema01,23,PIT,D,16,1,4,5,3,4,1.0,1,0,0,0,3,1,0,17,5.9,305,19:03,19,18,0,0,
348,Ryan Pulock\pulocry01,25,NYI,D,15,2,3,5,2,4,1.2,2,0,0,1,3,0,0,28,7.1,322,21:29,30,18,0,0,
349,Rasmus Ristolainen\ristora01,25,BUF,D,15,0,5,5,-2,4,0.9,0,0,0,0,4,1,0,29,0.0,364,24:14,19,33,0,0,
350,Carter Rowney\rowneca01,30,ANA,RW,17,4,1,5,-2,6,0.5,3,0,1,0,1,0,0,17,23.5,217,12:48,8,27,10,10,50.0
351,Travis Sanheim\sanhetr01,23,PHI,D,15,1,4,5,1,4,1.0,1,0,0,0,4,0,0,25,4.0,303,20:10,11,9,0,0,
352,Andrew Shaw\shawan01,28,CHI,C,15,3,2,5,0,16,0.5,2,1,0,0,2,0,0,27,11.1,213,14:12,2,36,23,25,47.9
353,Brady Skjei\skjeibr01,25,NYR,D,13,1,4,5,0,14,0.8,1,0,0,0,4,0,0,28,3.6,254,19:32,12,9,0,0,
354,Marcus Sorensen\sorenma01,27,SJS,RW,14,3,2,5,-4,16,0.4,3,0,0,0,2,0,0,20,15.0,174,12:24,3,14,0,2,0.0
355,Jordan Staal\staaljo01,31,CAR,C,16,2,3,5,2,12,0.3,1,1,0,0,3,0,0,25,8.0,294,18:22,5,28,140,118,54.3
356,Alex Steen\steenal01,35,STL,C,17,0,5,5,2,4,0.2,0,0,0,0,5,0,0,22,0.0,235,13:49,20,5,4,4,50.0
357,P.K. Subban\subbapk01,30,NJD,D,14,2,3,5,-2,16,0.7,2,0,0,1,3,0,0,33,6.1,335,23:54,11,11,0,0,
358,Nate Thompson\thompna01,35,MTL,C,16,0,5,5,0,5,0.0,0,0,0,0,4,0,1,20,0.0,224,14:01,14,18,109,86,55.9
359,Joe Thornton\thornjo01,40,SJS,C,17,0,5,5,-9,18,-0.1,0,0,0,0,4,1,0,17,0.0,244,14:22,3,2,80,88,47.6
360,Chris Wagner\wagnech01,28,BOS,C,14,1,4,5,1,2,0.3,1,0,0,0,4,0,0,19,5.3,195,13:54,7,32,25,30,45.5
361,Noel Acciari\acciano01,28,FLA,C,14,4,0,4,-3,0,0.2,4,0,0,2,0,0,0,22,18.2,217,15:30,19,19,92,103,47.2
362,Ethan Bear\bearet01,22,EDM,D,17,2,2,4,-3,14,0.9,2,0,0,1,2,0,0,23,8.7,364,21:23,19,7,0,0,
363,Matt Benning\bennima01,25,EDM,D,17,0,4,4,8,10,1.3,0,0,0,0,4,0,0,14,0.0,231,13:34,15,25,0,0,
364,Brian Boyle\boylebr01,35,FLA,C,7,2,2,4,4,2,0.6,2,0,0,0,2,0,0,13,15.4,97,13:51,8,11,38,27,58.5
365,Paul Byron\byronpa01,30,MTL,C,16,1,3,4,4,4,0.2,1,0,0,0,3,0,0,10,10.0,217,13:35,10,20,0,1,0.0
366,William Carrier\carriwi01,25,VEG,LW,17,2,2,4,-1,10,0.4,2,0,0,1,2,0,0,22,9.1,151,8:51,2,40,2,2,50.0
367,Cody Ceci\cecico01,26,TOR,D,17,1,3,4,5,8,0.9,1,0,0,1,3,0,0,14,7.1,384,22:36,27,27,0,0,
368,Dennis Cholowski\cholode01,21,DET,D,14,1,3,4,-11,4,0.0,0,1,0,0,1,2,0,23,4.3,249,17:48,12,3,0,0,
369,Blake Coleman\colembl01,28,NJD,C,14,3,1,4,0,12,0.3,3,0,0,0,1,0,0,29,10.3,219,15:37,10,34,16,26,38.1
370,Andrew Copp\coppan01,25,WPG,C,16,2,2,4,-4,4,0.1,2,0,0,0,2,0,0,22,9.1,263,16:28,5,11,79,61,56.4
371,Lawson Crouse\crousla01,22,ARI,LW,15,2,2,4,2,11,0.4,2,0,0,0,2,0,0,15,13.3,199,13:17,6,35,5,8,38.5
372,Jacob de La Rose\delarja01,24,DET,LW,16,1,3,4,3,4,0.3,1,0,0,0,3,0,0,15,6.7,196,12:13,9,24,45,69,39.5
373,Danny DeKeyser\dekeyda01,29,DET,D,8,0,4,4,0,4,0.6,0,0,0,0,4,0,0,12,0.0,176,22:04,17,2,0,0,
374,Dylan Gambrell\gambrdy01,23,SJS,C,13,1,3,4,-5,7,0.1,1,0,0,0,2,1,0,7,14.3,137,10:30,7,6,45,42,51.7
375,Adam Gaudette\gaudead01,23,VAN,C,7,1,3,4,3,0,0.5,1,0,0,0,2,1,0,9,11.1,82,11:45,4,5,9,15,37.5
376,Zemgus Girgensons\girgeze01,26,BUF,C,15,1,3,4,-4,2,0.1,1,0,0,1,3,0,0,19,5.3,199,13:15,2,15,4,6,40.0
377,Mikael Granlund\granlmi01,27,NSH,C,16,2,2,4,-2,6,0.0,2,0,0,0,2,0,0,33,6.1,263,16:25,11,8,11,7,61.1
378,Andy Greene\greenan01,37,NJD,D,10,0,4,4,5,2,0.9,0,0,0,0,4,0,0,8,0.0,194,19:25,22,3,0,0,
379,Carl Gunnarsson\gunnaca01,33,STL,D,10,1,3,4,1,6,0.7,1,0,0,0,2,0,1,7,14.3,152,15:10,13,5,0,0,
380,Erik Gustafsson\gustaer02,27,CHI,D,14,0,4,4,3,4,0.9,0,0,0,0,2,2,0,18,0.0,277,19:45,10,9,0,0,
381,Barrett Hayton\haytoba01,19,ARI,C,9,1,3,4,1,10,0.4,1,0,0,1,3,0,0,13,7.7,106,11:48,0,2,4,6,40.0
382,Vinnie Hinostroza\hinosvi01,25,ARI,C,16,1,3,4,-1,4,0.2,1,0,0,0,3,0,0,20,5.0,205,12:50,7,6,10,12,45.5
383,Nick Holden\holdeni01,32,VEG,D,17,2,2,4,0,4,1.1,1,1,0,0,1,0,1,28,7.1,336,19:46,21,27,0,0,
384,Justin Holl\hollju01,28,TOR,D,15,0,4,4,5,8,0.8,0,0,0,0,4,0,0,17,0.0,211,14:04,14,14,0,0,
385,Brett Howden\howdebr01,21,NYR,C,14,2,2,4,-1,2,0.2,2,0,0,1,1,0,1,16,12.5,219,15:38,15,12,85,90,48.6
386,Adrian Kempe\kempead01,23,LAK,LW,16,1,3,4,-6,10,-0.1,0,1,0,0,3,0,0,31,3.2,242,15:08,3,11,58,65,47.2
387,John Klingberg\klingjo01,27,DAL,D,17,1,3,4,-10,14,0.4,1,0,0,0,1,2,0,36,2.8,401,23:36,16,10,0,0,
388,Sean Kuraly\kuralse01,27,BOS,C,15,1,3,4,-1,8,0.1,1,0,0,0,3,0,0,26,3.8,219,14:36,5,34,63,75,45.7
389,Blake Lizotte\lizotbl01,22,LAK,C,16,0,4,4,-2,4,0.0,0,0,0,0,4,0,0,15,0.0,207,12:56,5,7,62,48,56.4
390,Olli Maatta\maattol01,25,CHI,D,15,0,4,4,-1,2,0.6,0,0,0,0,3,0,1,12,0.0,264,17:36,19,24,0,0,
391,Evgeni Malkin\malkiev01,33,PIT,C,5,2,2,4,2,0,0.6,1,1,0,0,2,0,0,15,13.3,80,16:04,1,1,25,20,55.6
392,Charlie McAvoy\mcavoch01,22,BOS,D,15,0,4,4,6,6,1.1,0,0,0,0,3,1,0,14,0.0,328,21:51,24,27,0,0,
393,Jake McCabe\mccabja01,26,BUF,D,15,1,3,4,-2,6,0.8,1,0,0,1,3,0,0,16,6.3,316,21:04,35,26,0,0,
394,Brock McGinn\mcginbr01,25,CAR,LW,16,1,3,4,-1,6,0.1,0,0,1,0,3,0,0,22,4.5,210,13:08,4,16,7,13,35.0
395,Colin Miller\milleco02,27,BUF,D,15,0,4,4,0,6,0.8,0,0,0,0,1,3,0,26,0.0,280,18:41,15,24,0,0,
396,Ryan Murray\murrary01,26,CBJ,D,10,1,3,4,-2,2,0.6,1,0,0,0,3,0,0,14,7.1,194,19:25,18,4,0,0,
397,Tyler Myers\myersty01,29,VAN,D,16,0,4,4,1,14,0.8,0,0,0,0,4,0,0,33,0.0,349,21:48,16,16,0,0,
