,,,,,,Scoring,Scoring,Scoring,,,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS?,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
90,Kyle Connor\connoky01,23,WPG,LW,16,5,6,11,-7,4,0.9,3,2,0,2,5,1,0,61,8.2,322,20:09,3,6,0,3,0.0
91,Sean Couturier\coutuse01,27,PHI,C,15,5,6,11,-3,12,1.1,4,1,0,1,4,2,0,41,12.2,281,18:43,6,12,98,52,65.3
92,Rasmus Dahlin\dahlira01,19,BUF,D,15,1,10,11,-4,14,1.3,1,0,0,0,3,7,0,26,3.8,288,19:13,8,11,0,0,
93,Max Domi\domima01,24,MTL,LW,16,4,7,11,7,0,1.3,3,1,0,1,4,3,0,37,10.8,271,16:56,4,6,90,117,43.5
94,Joonas Donskoi\donskjo01,27,COL,RW,16,8,3,11,-2,6,1.3,5,3,0,0,3,0,0,29,27.6,264,16:30,8,2,3,7,30.0
95,Pierre-Luc Dubois\duboipi01,21,CBJ,LW,16,6,5,11,-5,15,1.2,6,0,0,1,2,3,0,37,16.2,295,18:25,12,21,63,73,46.3
96,Ryan Dzingel\dzingry01,27,CAR,C,16,3,8,11,4,6,1.2,2,1,0,1,7,1,0,26,11.5,244,15:15,5,5,8,4,66.7
97,Alexander Edler\edleral01,33,VAN,D,16,3,8,11,1,26,1.8,2,1,0,1,6,2,0,38,7.9,403,25:12,40,21,0,0,
98,Lars Eller\ellerla01,30,WSH,C,17,5,6,11,2,16,1.1,3,1,1,0,5,1,0,32,15.6,287,16:52,9,8,142,108,56.8
99,Ryan Getzlaf\getzlry01,34,ANA,C,17,7,4,11,2,12,1.4,5,2,0,4,4,0,0,45,15.6,307,18:05,17,21,124,100,55.4
100,Erik Haula\haulaer01,28,CAR,LW,14,8,3,11,2,4,1.6,5,3,0,1,1,2,0,32,25.0,234,16:41,4,5,111,100,52.6
101,Roope Hintz\hintzro01,23,DAL,LW,16,9,2,11,1,2,1.8,7,1,1,1,0,2,0,33,27.3,259,16:10,5,15,54,76,41.5
102,Quinn Hughes\hughequ01,20,VAN,D,15,2,9,11,-2,2,1.4,1,1,0,0,2,7,0,22,9.1,292,19:28,1,3,0,0,
103,Calle Jarnkrok\jarnkca01,28,NSH,C,16,5,6,11,2,0,1.2,2,1,2,1,5,1,0,36,13.9,243,15:13,3,9,6,6,50.0
104,Erik Karlsson\karlser01,29,SJS,D,16,1,10,11,-11,2,1.1,1,0,0,0,6,4,0,25,4.0,404,25:13,20,12,0,0,
105,Nikita Kucherov\kucheni01,26,TBL,RW,13,4,7,11,0,4,1.0,3,1,0,0,5,2,0,32,12.5,249,19:08,5,8,0,0,
106,Ilya Mikheyev\mikheil01,25,TOR,F,17,4,7,11,7,2,1.2,4,0,0,0,7,0,0,41,9.8,273,16:04,5,11,1,1,50.0
