,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Alex Pietrangelo,STL,D,19,6,11,17,0,2,52,2,3,5,0,1,7,23
Josh Bailey,NYI,LW,17,6,7,13,-1,0,19,1,1,2,0,0,9,14
Nazem Kadri,COL,C,18,6,7,13,1,28,41,1,2,3,0,0,27,1
Max Pacioretty,VGK,LW,20,6,10,16,-4,13,82,0,2,5,0,0,26,12
John Tavares,TOR,C,13,6,7,13,-1,2,28,1,1,4,0,0,5,3
Vladislav Namestnikov,OTT,C,18,6,5,11,-1,15,36,2,1,1,1,1,27,14
Brandon Saad,CHI,LW,18,6,3,9,-4,4,41,1,0,0,1,0,14,9
Joel Armia,MON,RW,16,6,4,10,5,2,40,1,3,0,1,0,43,3
Calle Jarnkrok,NSH,C,18,6,6,12,2,0,40,1,1,1,2,0,10,3
Brett Connolly,FLA,RW,18,6,5,11,3,8,31,1,0,1,0,0,17,4
Tomas Tatar,MON,LW,18,6,9,15,3,20,49,0,2,2,0,0,15,4
Zack Kassian,EDM,RW,20,6,8,14,12,16,29,0,0,0,0,0,62,4
Kyle Palmieri,NJ,RW,17,6,5,11,0,23,41,0,2,3,0,0,22,8
Brady Tkachuk,OTT,LW,18,6,5,11,-2,17,67,0,0,0,0,0,60,8
Kaapo Kakko,NYR,RW,16,6,2,8,-10,4,30,1,2,2,0,0,8,0
Alex Kerfoot,TOR,C,20,5,3,8,1,16,36,1,1,1,0,0,19,10
Cale Makar,COL,D,18,5,13,18,4,0,37,2,0,8,0,0,14,17
Alex DeBrincat,CHI,RW,18,5,10,15,5,2,50,0,3,1,0,0,18,9
Matt Duchene,NSH,C,17,5,10,15,-3,8,37,0,3,2,0,0,8,5
Ryan O'Reilly,STL,C,19,5,14,19,-1,2,37,1,2,7,0,0,9,12
Sean Couturier,PHI,C,18,5,8,13,-1,12,47,1,1,2,0,0,14,8
Ryan Strome,NYR,C,16,5,11,16,6,16,24,2,1,4,0,0,12,6
Phillip Danault,MON,C,18,5,6,11,6,4,28,0,0,0,0,0,29,7
Rickard Rakell,ANH,C,19,5,6,11,6,4,56,0,0,0,0,3,24,5
Jason Zucker,MIN,LW,18,5,6,11,-10,6,33,0,3,1,0,0,16,9
Anders Lee,NYI,C,17,5,5,10,9,6,29,1,0,0,0,0,29,15
William Karlsson,VGK,C,20,5,13,18,2,12,51,0,2,2,1,3,20,7
Nikita Kucherov,TB,RW,15,5,8,13,-1,6,35,0,1,3,0,0,15,5
Ondrej Palat,TB,LW,15,5,4,9,4,10,31,1,1,1,0,0,28,12
Brandon Sutter,VAN,C,19,5,3,8,5,7,42,0,0,0,0,0,4,8
Lars Eller,WAS,C,20,5,6,11,3,16,37,0,1,1,1,0,12,10
Patric Hornqvist,PIT,RW,14,5,5,10,5,10,40,1,1,1,0,0,29,12
Joe Pavelski,DAL,RW,19,5,5,10,3,8,35,1,2,2,0,0,12,12
Steven Stamkos,TB,C,15,5,10,15,-6,2,47,2,3,3,0,0,14,7
Roman Josi,NSH,D,18,5,13,18,3,19,62,0,3,8,0,0,15,29
Claude Giroux,PHI,C,18,5,8,13,6,10,60,1,2,4,0,0,18,8
Sidney Crosby,PIT,C,17,5,12,17,-1,7,46,0,1,2,0,0,17,7
Paul Stastny,VGK,C,20,5,4,9,-6,10,37,2,4,2,0,0,25,7
Jeff Carter,LA,C,18,5,2,7,-5,16,60,2,0,0,0,0,17,10
Shea Weber,MON,D,18,5,9,14,3,12,49,2,2,2,0,0,30,34
Carl Soderberg,ARI,C,19,5,4,9,3,8,33,0,2,1,0,0,27,7
Blake Wheeler,WPG,RW,19,5,5,10,-9,8,53,0,0,2,0,0,42,14
Alexander Radulov,DAL,RW,19,5,5,10,7,22,48,1,1,1,0,0,13,14
Mikko Rantanen,COL,RW,9,5,7,12,1,2,24,2,3,1,0,0,8,5
Andreas Johnsson,TOR,LW,20,5,7,12,6,12,48,1,3,1,0,0,17,9
Kevin Labanc,SJ,RW,19,5,4,9,-13,12,42,2,1,1,0,0,13,3
Barclay Goodrow,SJ,LW,19,5,4,9,1,40,22,2,0,0,0,1,35,18
Sammy Blais,STL,LW,17,5,3,8,3,8,25,1,0,0,0,0,57,6
Zach Werenski,CLS,D,18,5,4,9,-8,4,51,0,1,1,0,0,16,19
Bryan Rust,PIT,RW,7,5,2,7,6,0,17,1,0,0,0,1,11,3
Timo Meier,SJ,LW,19,5,6,11,0,12,53,0,1,0,0,0,35,14
Andre Burakovsky,COL,LW,18,5,7,12,0,8,33,3,0,4,0,0,5,11
Aleksander Barkov,FLA,C,18,5,19,24,-2,6,45,0,3,5,0,0,6,5
Sean Monahan,CGY,C,21,5,12,17,-5,6,51,1,2,5,0,0,18,7
Johnny Gaudreau,CGY,LW,21,5,13,18,-2,6,57,0,2,4,0,0,0,1
Colton Sissons,NSH,RW,18,5,6,11,4,6,21,1,0,0,1,0,27,11
Radek Faksa,DAL,C,19,5,3,8,-6,12,33,1,1,0,0,0,25,10
Brad Hunt,MIN,D,18,5,5,10,2,0,28,0,2,4,0,0,2,12
Anthony DeAngelo,NYR,D,16,5,9,14,-5,13,32,0,2,4,0,0,7,11
Kasperi Kapanen,TOR,RW,20,5,6,11,-1,4,30,0,0,1,2,0,35,5
Jake Virtanen,VAN,LW,19,5,3,8,5,8,38,3,0,0,0,0,31,10
Yanni Gourde,TB,LW,15,4,4,8,3,11,30,2,0,2,0,0,12,6
Ryan Dzingel,CAR,C,18,4,9,13,5,13,32,1,1,1,0,0,7,7
Brayden Point,TB,C,12,4,7,11,0,5,27,0,0,1,0,0,6,4
Nick Schmaltz,ARI,RW,19,4,11,15,7,4,28,2,1,2,0,0,5,7
Oliver Bjorkstrand,CLS,RW,18,4,2,6,-6,4,53,1,1,0,0,0,16,8
Teuvo Teravainen,CAR,C,18,4,11,15,4,4,44,0,1,7,0,1,6,9
Tanner Pearson,VAN,LW,19,4,5,9,-2,6,57,0,1,2,0,0,23,11
Jonathan Marchessault,VGK,LW,20,4,9,13,-6,6,65,1,2,4,0,0,37,3
Max Domi,MON,C,18,4,8,12,6,0,43,1,1,4,0,0,9,4
Mitch Marner,TOR,C,18,4,14,18,-2,4,49,0,2,5,0,1,8,11
Dylan Strome,CHI,C,18,4,11,15,9,10,29,0,0,2,0,0,9,6
Tim Schaller,VAN,C,19,4,0,4,1,8,27,0,0,0,1,0,17,10
Danton Heinen,BOS,C,18,4,4,8,4,0,20,2,2,0,0,0,5,11
Carter Rowney,ANH,C,19,4,1,5,-2,6,21,0,0,0,1,0,52,8
Denis Gurianov,DAL,RW,15,4,4,8,7,2,37,2,1,2,0,0,19,2
Anthony Beauvillier,NYI,LW,17,4,6,10,3,4,34,0,1,1,1,0,15,7
Patrik Laine,WPG,RW,17,4,11,15,0,2,62,0,1,4,0,0,35,8
Nikita Gusev,NJ,LW,14,4,2,6,-1,6,29,0,0,0,0,0,2,1
Noel Acciari,FLA,C,15,4,0,4,-3,2,24,2,0,0,0,0,24,23
Brent Burns,SJ,D,19,4,13,17,-13,18,56,0,1,7,0,1,29,24
Zach Parise,MIN,LW,18,4,2,6,-12,2,35,1,1,0,0,0,13,8
Dustin Brown,LA,RW,18,4,6,10,2,6,47,0,0,1,0,0,41,6
Patrick Marleau,SJ,LW,15,4,5,9,3,4,24,0,1,0,0,0,19,10
Mark Giordano,CGY,D,21,4,9,13,0,14,52,0,1,3,0,0,15,43
Darren Helm,DET,C,20,4,1,5,5,19,35,0,0,0,0,0,21,11
Drew Doughty,LA,D,18,4,6,10,-7,8,47,2,2,2,0,0,46,40
Mathieu Perreault,WPG,C,19,4,2,6,-6,2,32,0,1,0,0,0,25,9
Nicklas Backstrom,WAS,C,20,4,11,15,-2,2,47,0,1,6,0,0,8,12
Kris Letang,PIT,D,15,4,8,12,5,4,55,0,1,2,0,0,26,16
Jakub Voracek,PHI,LW,18,4,9,13,-3,6,38,0,2,4,0,0,7,6
James van Riemsdyk,PHI,LW,18,4,5,9,2,4,57,0,1,0,0,0,7,5
Kyle Turris,NSH,C,18,4,4,8,0,6,31,2,1,1,0,0,4,2
Kevin Shattenkirk,TB,D,15,4,9,13,6,8,42,0,1,2,0,0,13,14
Sami Vatanen,NJ,D,15,4,4,8,4,6,22,0,1,2,0,0,14,25
Matt Nieto,COL,LW,18,4,5,9,5,2,28,0,0,0,1,0,11,5
Boone Jenner,CLS,LW,18,4,1,5,-11,8,42,0,0,0,0,0,32,14
Tyler Johnson,TB,C,15,4,5,9,1,0,28,1,0,2,0,0,20,3
Mika Zibanejad,NYR,C,9,4,7,11,0,0,27,1,1,3,1,1,12,6
Matt Calvert,COL,LW,18,4,8,12,6,14,33,0,0,0,1,0,19,7
Marcus Johansson,BUF,LW,17,4,6,10,1,6,14,1,1,0,0,0,17,8
Chris Kreider,NYR,LW,16,4,5,9,-1,10,36,1,2,1,0,0,33,11
