,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Ryan Suter,MIN,D,18,2,7,9,-8,8,28,0,1,3,0,0,15,17
Jordan Staal,CAR,C,18,2,3,5,3,14,29,0,1,0,0,0,44,8
Jeff Petry,MON,D,18,2,8,10,7,6,43,0,2,2,0,0,47,21
Artem Anisimov,OTT,C,7,2,0,2,-5,2,15,0,0,0,0,0,2,5
David Krejci,BOS,C,12,2,7,9,7,6,21,1,1,2,0,0,7,7
Bryan Little,WPG,C,7,2,3,5,4,2,13,1,0,0,0,0,3,3
Valtteri Filppula,DET,C,20,2,6,8,-14,6,22,0,0,1,0,0,7,6
Matt Niskanen,PHI,D,18,2,6,8,1,13,32,0,1,4,0,0,35,19
Marc-Edouard Vlasic,SJ,D,19,2,2,4,-5,0,21,0,0,0,1,0,11,25
Tyler Bozak,STL,C,19,2,6,8,2,4,24,0,0,0,1,0,13,7
Derek Stepan,ARI,C,19,2,4,6,-7,6,38,1,0,2,0,0,8,12
Marco Scandella,BUF,D,11,2,2,4,8,2,14,0,0,0,0,0,7,13
Nick Holden,VGK,D,20,2,2,4,-5,4,33,0,1,0,0,1,39,30
Justin Schultz,PIT,D,18,2,6,8,-3,0,48,0,0,3,0,0,12,16
P.K. Subban,NJ,D,17,2,3,5,-5,20,44,1,0,0,0,0,16,17
Logan Couture,SJ,C,19,2,14,16,-4,16,45,0,0,7,0,1,13,12
Cal Clutterbuck,NYI,RW,17,2,4,6,9,16,22,0,0,0,1,1,58,20
Keith Yandle,FLA,D,18,2,11,13,4,4,36,0,1,7,0,0,8,19
Craig Smith,NSH,RW,18,2,4,6,6,8,39,0,0,0,0,0,19,7
Nick Cousins,MON,C,12,2,5,7,6,2,22,0,0,1,0,0,17,2
Brett Ritchie,BOS,RW,13,2,1,3,-1,17,20,1,0,1,0,0,36,1
Scott Mayfield,NYI,D,17,2,2,4,3,8,29,1,0,0,0,1,34,30
Ryan Reaves,VGK,RW,20,2,1,3,-3,14,19,0,0,0,0,0,89,9
Jared Spurgeon,MIN,D,18,2,8,10,-9,4,36,0,0,3,0,0,20,28
Marcus Foligno,MIN,LW,16,2,4,6,2,2,24,0,0,0,0,0,61,9
Derek Grant,ANH,C,19,2,3,5,-3,4,26,1,0,0,0,0,12,11
Mark Borowiecki,OTT,D,18,2,5,7,8,29,24,0,0,0,0,0,71,33
Matt Martin,NYI,LW,7,2,1,3,2,0,7,1,0,0,0,0,27,0
Oliver Ekman-Larsson,ARI,D,19,2,6,8,1,4,42,0,0,1,0,0,33,24
Nick Leddy,NYI,D,13,2,4,6,5,2,17,0,1,0,0,0,12,16
Ryan Johansen,NSH,C,18,2,12,14,0,14,28,0,1,6,0,0,17,6
Nino Niederreiter,CAR,RW,18,2,5,7,-6,14,34,0,1,1,0,0,15,7
Taylor Hall,NJ,LW,17,2,13,15,-5,12,62,0,0,6,0,0,14,5
Kyle Clifford,LA,LW,18,2,3,5,1,17,27,0,0,0,0,0,26,3
Jordan Weal,MON,C,10,2,1,3,-4,4,20,0,1,0,0,0,3,6
Charlie Coyle,BOS,C,18,2,5,7,1,2,33,0,0,0,0,0,23,5
Dennis Cholowski,DET,D,17,2,4,6,-10,4,30,1,1,3,0,0,5,15
Brett Howden,NYR,C,16,2,2,4,-2,4,17,1,0,0,0,1,16,17
Dante Fabbro,NSH,D,18,2,3,5,7,8,23,0,0,0,0,0,15,29
Maxime Comtois,ANH,LW,13,2,3,5,0,6,15,0,1,0,0,0,30,3
Neal Pionk,WPG,D,19,2,9,11,5,4,37,0,0,4,0,0,43,20
Nico Hischier,NJ,C,15,2,6,8,-4,2,27,0,0,1,0,0,9,8
Jesperi Kotkaniemi,MON,C,12,2,1,3,-1,2,19,0,0,1,0,0,16,4
Joel Farabee,PHI,LW,12,2,2,4,-2,6,26,0,0,0,0,0,6,5
Quinn Hughes,VAN,D,18,2,10,12,-3,2,28,0,1,8,0,0,3,6
Adam Gaudette,VAN,C,9,2,4,6,3,0,14,0,1,2,0,0,8,4
Emil Bemstrom,CLS,C,18,2,3,5,-1,0,27,0,2,1,0,0,17,7
Troy Terry,ANH,C,19,2,2,4,-5,4,24,0,0,0,0,0,2,2
Alexandre Texier,CLS,C,14,2,1,3,1,6,21,1,0,1,0,0,10,3
Gerald Mayhew,MIN,C,6,2,0,2,2,2,9,0,0,0,0,0,4,1
Gaetan Haas,EDM,C,12,2,1,3,0,0,9,0,0,0,0,0,12,6
John Marino,PIT,D,16,1,3,4,2,8,20,0,0,0,0,0,20,17
Joakim Nygard,EDM,LW,7,1,1,2,-2,2,11,0,0,0,0,0,8,2
Ville Heinola,WPG,D,8,1,4,5,3,4,10,0,0,1,0,0,3,5
Adam Boqvist,CHI,D,6,1,0,1,0,4,10,0,0,0,0,0,5,3
Blake Lizotte,LA,LW,18,1,5,6,-1,4,21,0,0,1,0,0,9,5
Mackenzie MacEachern,STL,LW,12,1,2,3,0,2,13,0,0,0,0,0,24,5
Joel L'Esperance,DAL,C,3,1,0,1,0,2,2,0,0,0,0,0,1,1
Adam Johnson,PIT,C,7,1,1,2,-1,2,5,0,0,0,0,0,4,3
Dominic Toninato,FLA,LW,3,1,0,1,1,7,4,0,0,0,0,0,3,1
Eric Robinson,CLS,LW,1,1,0,1,1,0,3,0,0,0,0,0,4,0
Barrett Hayton,ARI,C,9,1,3,4,1,10,13,1,0,0,0,0,2,0
Par Lindholm,BOS,C,9,1,0,1,2,0,8,0,0,0,0,0,8,4
Connor Clifton,BOS,D,16,1,0,1,1,2,14,0,0,0,0,0,38,17
Rasmus Dahlin,BUF,D,17,1,11,12,-3,16,27,0,0,7,0,0,15,8
Tucker Poolman,WPG,D,17,1,3,4,-8,2,19,0,0,0,0,0,13,12
Nick Caamano,DAL,RW,9,1,0,1,0,0,10,0,0,0,0,0,13,3
Matt Roy,LA,D,18,1,1,2,-3,2,32,0,0,0,0,0,28,33
Henri Jokiharju,BUF,D,17,1,5,6,2,10,22,0,0,0,0,0,14,17
Radim Simek,SJ,D,4,1,1,2,-2,0,6,0,0,0,0,0,15,14
Max Jones,ANH,LW,15,1,1,2,0,6,27,0,0,0,0,0,16,1
Vitali Abramov,OTT,RW,2,1,0,1,0,2,3,0,0,0,0,0,0,0
Carsen Twarynski,PHI,LW,13,1,0,1,-1,4,13,0,0,0,0,0,34,5
Dylan Gambrell,SJ,C,15,1,3,4,-7,7,8,0,0,1,0,0,7,7
Josh Mahura,ANH,D,5,1,3,4,-1,2,4,0,0,0,0,0,1,7
Samuel Girard,COL,D,18,1,6,7,-2,2,25,0,1,2,0,0,16,24
Ryan Lindgren,NYR,D,6,1,1,2,5,2,7,0,0,0,0,0,9,4
Patrik Nemeth,DET,D,19,1,3,4,2,8,32,1,0,0,0,0,18,25
Justin Holl,TOR,D,18,1,5,6,8,10,22,0,0,0,0,0,18,18
Johan Larsson,BUF,C,17,1,1,2,-2,10,22,0,0,0,0,0,25,10
Greg McKegg,NYR,C,9,1,0,1,-3,5,7,0,0,0,1,0,8,2
Erik Gudbranson,ANH,D,15,1,0,1,3,6,17,0,0,0,0,0,30,14
Chris Tanev,VAN,D,19,1,3,4,7,6,13,0,0,0,0,1,11,55
Nick Bjugstad,PIT,C,9,1,0,1,2,8,15,0,0,0,0,0,19,6
Mark Pysyk,FLA,D,12,1,1,2,-3,6,12,0,0,0,0,0,7,7
Calvin de Haan,CHI,D,16,1,3,4,4,6,17,0,0,0,0,0,57,41
Brayden McNabb,VGK,D,20,1,2,3,-1,26,18,0,0,0,1,0,57,36
Dmitry Orlov,WAS,D,20,1,7,8,-6,10,26,0,1,1,0,0,33,26
Alex Chiasson,EDM,RW,17,1,4,5,-1,6,26,0,1,0,0,0,16,7
Brian Dumoulin,PIT,D,14,1,5,6,11,8,25,0,0,1,1,0,30,20
Micheal Haley,NYR,LW,8,1,0,1,-1,14,6,0,0,0,0,0,13,4
Colton Sceviour,FLA,RW,18,1,3,4,-2,2,25,0,0,0,0,0,16,13
Rocco Grimaldi,NSH,C,15,1,7,8,5,4,21,0,0,0,0,0,5,3
Oscar Klefbom,EDM,D,20,1,10,11,-6,4,45,0,0,6,0,0,16,59
Nick Shore,TOR,C,17,1,1,2,2,10,5,0,0,0,0,0,10,7
Vincent Trocheck,FLA,C,11,1,5,6,-5,4,31,0,0,1,1,0,14,11
Victor Rask,MIN,C,9,1,1,2,2,0,4,1,0,0,0,0,8,3
Joel Edmundson,CAR,D,18,1,2,3,2,21,24,0,0,0,0,0,34,31
Miikka Salomaki,NSH,RW,5,1,0,1,2,4,2,1,0,0,0,0,9,3
Adam Lowry,WPG,LW,17,1,1,2,0,9,23,0,0,0,0,0,50,8
Alan Quine,CGY,C,9,1,0,1,-1,4,12,0,0,0,0,0,6,2
Gabriel Bourque,WPG,LW,16,1,2,3,1,0,17,0,0,0,0,0,49,14
Brandon Manning,EDM,D,9,1,0,1,-1,17,8,0,0,0,0,0,10,6
Micheal Ferland,VAN,LW,12,1,4,5,-1,7,13,0,0,0,0,0,31,1
Ryan McDonagh,TB,D,15,1,4,5,-1,4,15,0,0,0,0,0,14,32
Sam Gagner,EDM,C,8,1,2,3,-1,2,15,0,0,0,0,0,8,3
Vladimir Sobotka,BUF,C,16,1,2,3,2,4,23,0,0,0,0,0,26,7
Niklas Hjalmarsson,ARI,D,4,1,0,1,1,0,4,0,0,0,0,0,2,4
Riley Nash,CLS,C,17,1,5,6,2,4,11,0,0,0,1,0,19,11
Brendan Smith,NYR,D,16,1,3,4,-5,15,16,0,0,0,1,1,30,10
Travis Hamonic,CGY,D,21,1,3,4,-4,15,30,0,0,0,0,0,13,40
Michael Stone,CGY,D,7,1,1,2,-1,2,9,0,0,0,0,0,10,8
Jake Gardiner,CAR,D,18,1,5,6,-6,8,21,1,0,2,0,0,14,17
Michael Del Zotto,ANH,D,14,1,2,3,6,4,13,0,0,0,0,0,28,18
Erik Karlsson,SJ,D,18,1,13,14,-8,2,29,0,0,4,0,0,12,27
Jay Beagle,VAN,C,18,1,2,3,-1,12,20,1,0,0,1,1,22,11
Jamie Benn,DAL,C,19,1,5,6,-1,6,40,0,1,1,0,0,37,16
Paul Byron,MON,C,18,1,3,4,3,4,11,0,0,0,0,0,28,11
Carl Gunnarsson,STL,D,12,1,3,4,1,6,8,0,0,0,0,1,8,14
Dmitry Kulikov,WPG,D,18,1,2,3,0,14,25,0,0,0,0,0,31,23
Nate Thompson,MON,C,18,1,5,6,0,5,21,0,0,0,0,1,26,22
Bobby Ryan,OTT,RW,14,1,3,4,-1,11,20,0,0,0,0,0,22,2
Marc Staal,NYR,D,11,1,1,2,2,8,11,0,0,0,0,0,12,25
Nick Foligno,CLS,LW,17,1,6,7,-2,19,33,0,1,0,0,1,46,9
Trevor Lewis,LA,C,16,1,1,2,-3,6,30,0,0,0,0,0,23,8
Erik Johnson,COL,D,18,1,2,3,-1,6,32,0,0,0,0,0,30,32
Kyle Okposo,BUF,RW,17,1,4,5,0,16,18,1,0,0,0,0,21,3
Michael Frolik,CGY,LW,19,1,2,3,-10,16,20,0,0,0,0,0,8,4
Braydon Coburn,TB,D,12,1,0,1,3,4,19,0,0,0,0,0,19,9
Jay Bouwmeester,STL,D,19,1,2,3,5,8,14,0,0,0,0,0,15,26
Brent Seabrook,CHI,D,16,1,0,1,1,4,22,0,1,0,0,0,33,29
Jason Spezza,TOR,C,10,1,3,4,-2,8,16,0,0,0,0,0,3,3
Ron Hainsey,OTT,D,18,1,2,3,3,2,12,1,0,0,0,1,17,28
Mike Green,DET,D,17,1,3,4,-8,16,33,0,0,2,0,0,15,32
Alex Goligoski,ARI,D,19,1,10,11,7,8,34,0,1,3,0,0,33,31
Travis Zajac,NJ,C,17,1,3,4,-2,8,11,0,0,0,0,0,12,9
Johnny Boychuk,NYI,D,16,1,6,7,1,2,25,0,1,0,0,0,41,33
Duncan Keith,CHI,D,18,1,5,6,1,10,28,0,0,2,0,0,7,35
Sean Kuraly,BOS,C,18,1,3,4,-4,10,28,0,0,0,0,0,42,7
Anthony Cirelli,TB,C,14,1,6,7,3,12,19,0,0,2,0,0,16,10
Troy Stecher,VAN,D,19,1,3,4,6,16,26,0,0,0,0,0,25,16
Travis Dermott,TOR,D,7,1,1,2,7,2,10,0,0,0,0,0,11,7
Jacob Larsson,ANH,D,18,1,1,2,-1,8,19,0,0,0,0,0,12,15
Ondrej Kase,ANH,RW,14,1,6,7,6,2,33,0,0,0,0,0,5,0
Jonas Siegenthaler,WAS,D,20,1,2,3,6,16,12,1,0,0,0,0,17,41
Erik Cernak,TB,D,14,1,0,1,-1,13,27,0,0,0,0,0,40,23
Joel Eriksson Ek,MIN,C,15,1,4,5,-1,2,25,0,0,0,0,0,32,18
Dmytro Timashov,TOR,LW,15,1,3,4,0,6,13,0,0,0,0,0,37,7
Kyle Capobianco,ARI,D,7,1,0,1,-1,2,6,0,0,0,0,0,8,9
Melker Karlsson,SJ,C,17,1,1,2,-7,8,14,0,0,0,0,0,14,12
Jayce Hawryluk,FLA,C,8,1,2,3,-1,4,5,0,0,0,0,0,16,5
Ross Johnston,NYI,LW,10,1,0,1,0,35,4,0,0,0,0,0,28,3
Colby Cave,EDM,C,5,1,0,1,-1,2,2,0,0,0,0,0,12,0
Kurtis MacDermid,LA,D,9,1,1,2,-1,13,13,0,0,0,0,0,20,11
Josh Brown,FLA,D,15,1,1,2,-4,11,7,0,0,0,0,0,22,15
Colton Parayko,STL,D,19,1,8,9,1,6,46,0,0,2,0,1,20,32
Cole Bardreau,NYI,LW,9,1,1,2,-1,6,9,1,0,0,0,0,19,1
Ben Hutton,LA,D,18,1,3,4,-5,4,36,0,0,0,0,0,14,23
Joseph Blandisi,PIT,C,7,1,1,2,0,0,3,1,0,0,0,0,11,3
Filip Chlapik,OTT,C,8,1,3,4,3,6,7,0,0,0,0,0,15,2
Nicolas Roy,VGK,C,6,1,2,3,1,4,6,1,0,0,0,0,10,2
Thomas Chabot,OTT,D,18,1,9,10,-7,8,50,0,0,2,0,0,24,28
Erik Gustafsson,CHI,D,17,1,4,5,4,6,24,0,0,2,0,0,20,15
Christian Fischer,ARI,RW,18,1,1,2,5,4,30,0,0,0,0,0,38,5
Luke Witkowski,TB,RW,12,1,2,3,-4,13,10,0,0,0,0,0,38,3
Tobias Rieder,CGY,RW,15,1,0,1,-6,0,20,0,0,0,0,0,6,8
John Klingberg,DAL,D,17,1,3,4,-10,14,36,0,0,2,0,0,13,18
Seth Jones,CLS,D,18,1,8,9,-5,8,41,0,0,2,0,0,19,40
Nikita Zadorov,COL,D,15,1,2,3,2,37,20,0,0,0,0,0,39,22
Jacob De La Rose,STL,C,18,1,3,4,3,4,15,0,0,0,0,0,36,9
Josh Morrissey,WPG,D,17,1,10,11,-10,2,43,0,1,5,0,0,13,14
Jason Dickinson,DAL,C,15,1,1,2,-1,0,21,0,0,0,0,0,23,10
Adam Pelech,NYI,D,17,1,4,5,8,6,23,0,0,0,0,1,35,44
Gemel Smith,TB,C,3,1,0,1,0,4,1,0,0,0,0,0,1,2
Jake McCabe,BUF,D,17,1,4,5,-4,8,19,1,0,0,0,0,30,38
Brock McGinn,CAR,LW,18,1,3,4,-2,11,26,0,0,0,1,0,23,4
Ryan Murray,CLS,D,11,1,3,4,-2,2,15,0,0,0,0,0,5,24
Chris Wagner,BOS,RW,17,1,4,5,-1,4,21,0,0,0,0,0,47,8
Jacob Trouba,NYR,D,16,1,6,7,-1,6,47,0,0,3,0,1,44,39
Cody Ceci,TOR,D,20,1,3,4,4,10,18,1,0,0,0,0,35,39
Zemgus Girgensons,BUF,C,17,1,3,4,-4,2,19,1,0,0,0,0,22,2
Madison Bowey,DET,D,15,1,4,5,-7,6,17,0,0,0,0,0,9,16
Shea Theodore,VGK,D,20,1,6,7,-4,6,48,0,0,4,0,0,11,18
Zach Sanford,STL,LW,14,1,2,3,-1,8,12,0,0,0,0,0,26,7
Josh Anderson,CLS,RW,12,1,1,2,-9,6,24,0,0,0,0,0,31,8
Justin Dowling,DAL,C,14,1,0,1,0,6,16,1,0,0,0,0,14,7
Scott Sabourin,OTT,RW,11,1,1,2,-3,13,9,0,0,0,0,0,26,5
Jujhar Khaira,EDM,C,20,1,0,1,-6,8,21,0,0,0,0,0,40,7
Brendan Lemieux,NYR,LW,15,1,5,6,0,26,23,0,1,1,0,0,32,22
Marcus Pettersson,PIT,D,18,1,5,6,2,4,20,0,0,1,0,0,27,23
Ryan Donato,MIN,C,16,1,2,3,0,2,17,0,0,0,0,0,11,2
Adrian Kempe,LA,C,17,1,3,4,-7,10,31,0,1,0,0,0,17,3
Travis Sanheim,PHI,D,18,1,4,5,2,6,31,0,0,0,0,0,10,16
Alex Tuch,VGK,RW,3,1,1,2,-1,0,7,0,0,1,0,0,2,0
Michael Dal Colle,NYI,LW,16,1,2,3,1,6,11,0,0,0,0,0,12,7
Shayne Gostisbehere,PHI,D,18,1,5,6,-5,10,33,0,0,4,0,0,6,13
Esa Lindell,DAL,D,19,1,3,4,3,4,24,1,1,1,0,0,19,40
Cedric Paquette,TB,C,7,1,3,4,-1,12,10,0,0,0,0,0,11,6
Josh Manson,ANH,D,11,0,3,3,3,15,13,0,0,0,0,0,28,15
Ryan Carpenter,CHI,C,17,0,6,6,5,8,11,0,0,0,0,1,31,14
Brendan Perlini,DET,LW,8,0,0,0,-3,2,16,0,0,0,0,0,6,2
Vladislav Kamenev,COL,C,7,0,3,3,2,2,5,0,0,1,0,0,4,3
Connor Carrick,NJ,D,4,0,1,1,-3,2,4,0,0,0,0,0,4,6
Colin Miller,BUF,D,17,0,4,4,0,6,28,0,0,3,0,0,31,15
Matt Grzelcyk,BOS,D,18,0,3,3,3,8,28,0,0,1,0,0,15,17
Trevor Carrick,SJ,D,3,0,0,0,0,5,1,0,0,0,0,0,1,0
Brett Kulak,MON,D,10,0,1,1,-3,4,13,0,0,0,0,0,8,11
Jordan Oesterle,ARI,D,11,0,4,4,2,6,12,0,0,1,0,0,9,17
Christian Folin,MON,D,5,0,1,1,2,2,2,0,0,0,0,0,14,9
Peter Cehlarik,BOS,C,3,0,1,1,-1,2,0,0,0,0,0,0,2,2
Carl Dahlstrom,WPG,D,10,0,0,0,-2,4,7,0,0,0,0,0,5,9
Nicolas Petan,TOR,C,6,0,1,1,-1,2,8,0,0,0,0,0,4,1
John Hayden,NJ,C,7,0,0,0,-1,2,6,0,0,0,0,0,12,2
Carter Verhaeghe,TB,C,10,0,1,1,0,2,12,0,0,0,0,0,0,0
Olli Maatta,CHI,D,18,0,4,4,0,2,15,0,0,0,0,1,34,27
Slater Koekkoek,CHI,D,8,0,3,3,-3,8,7,0,0,0,0,0,17,8
Hampus Lindholm,ANH,D,15,0,9,9,3,12,20,0,0,1,0,2,5,21
Alex Galchenyuk,PIT,RW,9,0,3,3,-4,0,25,0,0,1,0,0,10,3
Leo Komarov,NYI,LW,8,0,3,3,1,2,5,0,0,0,0,1,11,3
Anthony Bitetto,WPG,D,14,0,1,1,0,2,22,0,0,0,0,0,42,15
Matt Tennyson,NJ,D,11,0,3,3,-6,6,6,0,0,0,0,0,11,10
Gabriel Dumont,MIN,C,3,0,0,0,-1,0,3,0,0,0,0,0,9,2
Scott Laughton,PHI,C,9,0,3,3,0,0,11,0,0,0,0,0,18,9
Devin Shore,ANH,C,10,0,2,2,4,2,11,0,0,0,0,0,12,5
Jordan Martinook,CAR,LW,4,0,1,1,1,4,3,0,0,0,0,0,8,2
Mike Matheson,FLA,D,13,0,1,1,-4,2,24,0,0,1,0,0,11,18
Mark Jankowski,CGY,C,18,0,0,0,-9,6,9,0,0,0,0,0,4,9
Valentin Zykov,VGK,RW,7,0,2,2,-1,2,7,0,0,0,0,0,11,3
Samuel Morin,PHI,D,1,0,0,0,-1,0,0,0,0,0,0,0,2,0
Rasmus Ristolainen,BUF,D,17,0,7,7,-2,8,34,0,0,1,0,0,57,26
Mirco Mueller,NJ,D,10,0,0,0,-4,11,7,0,0,0,0,0,11,13
Robert Hagg,PHI,D,10,0,1,1,-3,6,9,0,0,0,0,0,32,21
Adam Erne,DET,LW,15,0,0,0,-6,16,20,0,0,0,0,0,43,7
Mike Reilly,MON,D,8,0,2,2,1,2,9,0,0,0,0,0,8,8
Jayson Megna,COL,LW,5,0,0,0,-1,0,3,0,0,0,0,0,4,2
Alex Biega,DET,D,6,0,0,0,-2,2,8,0,0,0,0,0,11,4
Valeri Nichushkin,COL,LW,14,0,1,1,3,5,21,0,0,0,0,0,13,5
Danny DeKeyser,DET,D,8,0,4,4,0,4,12,0,0,0,0,0,6,18
Radko Gudas,WAS,D,20,0,5,5,9,21,25,0,0,0,0,0,60,34
Evgeny Svechnikov,DET,LW,4,0,0,0,-1,2,7,0,0,0,0,0,5,1
Jordan Greenway,MIN,LW,16,0,5,5,1,10,21,0,0,1,0,0,37,6
Jimmy Vesey,BUF,LW,14,0,2,2,2,0,19,0,0,0,0,0,10,5
Tyler Lewington,WAS,D,5,0,0,0,-2,17,2,0,0,0,0,0,10,5
Joakim Ryan,LA,D,7,0,1,1,0,2,5,0,0,0,0,0,5,9
Evan Rodrigues,BUF,C,8,0,1,1,0,0,13,0,0,0,0,0,3,1
Trevor van Riemsdyk,CAR,D,9,0,2,2,0,2,9,0,0,0,0,0,4,9
Andrew Agozzino,PIT,LW,1,0,0,0,-1,0,0,0,0,0,0,0,1,0
Josh Archibald,EDM,RW,11,0,0,0,-5,0,10,0,0,0,0,0,20,3
Jacob Middleton,SJ,D,1,0,0,0,0,0,0,0,0,0,0,0,2,1
Kevin Gravel,TOR,D,3,0,0,0,0,0,2,0,0,0,0,0,2,3
Daniel Carr,NSH,LW,3,0,0,0,-1,0,4,0,0,0,0,0,5,1
Brandon Montour,BUF,D,3,0,1,1,0,2,8,0,0,0,0,0,3,4
Joel Hanley,DAL,D,8,0,2,2,0,6,4,0,0,0,0,0,3,8
Dylan DeMelo,OTT,D,18,0,2,2,4,11,24,0,0,0,0,0,41,20
Joe Hicketts,DET,D,4,0,1,1,-4,0,4,0,0,0,0,0,8,9
Jean-Christophe Beaudin,OTT,C,10,0,1,1,-3,7,6,0,0,0,0,0,22,2
Zach Hyman,TOR,RW,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Dean Kukan,CLS,D,10,0,2,2,-2,4,12,0,0,0,0,0,9,10
Zachary Senyshyn,BOS,RW,4,0,2,2,1,0,1,0,0,0,0,0,2,1
Sami Niku,WPG,D,1,0,0,0,0,0,1,0,0,0,0,0,2,3
Cameron Hughes,BOS,C,1,0,0,0,-1,0,0,0,0,0,0,0,1,2
Brendan Guhle,ANH,D,8,0,3,3,3,4,9,0,0,0,0,0,2,12
Yakov Trenin,NSH,C,1,0,0,0,0,2,0,0,0,0,0,0,1,0
Oliver Kylington,CGY,D,14,0,1,1,0,4,12,0,0,0,0,0,7,9
Vladislav Gavrikov,CLS,D,17,0,1,1,-2,8,18,0,0,0,0,0,23,19
Alexander Volkov,TB,LW,4,0,0,0,-5,0,3,0,0,0,0,0,5,1
Nikita Zaitsev,OTT,D,18,0,5,5,2,4,22,0,0,0,0,0,34,53
Anthony Richard,NSH,C,1,0,0,0,-1,0,2,0,0,0,0,0,0,0
Tyler Motte,VAN,C,6,0,1,1,-1,2,3,0,0,0,0,0,17,8
Mikhail Sergachev,TB,D,15,0,8,8,6,14,25,0,0,2,0,0,19,21
Patrick Russell,EDM,RW,17,0,2,2,-2,2,26,0,0,0,0,0,21,15
Tim Heed,SJ,D,13,0,1,1,0,0,14,0,0,0,0,0,10,9
Dennis Gilbert,CHI,D,3,0,0,0,-3,0,2,0,0,0,0,0,19,3
Kole Sherwood,CLS,C,3,0,0,0,0,2,6,0,0,0,0,0,10,1
Nick Jensen,WAS,D,20,0,2,2,-5,0,15,0,0,1,0,0,15,24
Nikolay Prokhorkin,LA,LW,3,0,0,0,-1,0,5,0,0,0,0,0,6,0
Ashton Sautner,VAN,D,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Dryden Hunt,FLA,LW,18,0,4,4,3,24,32,0,0,0,0,0,33,6
Matt Benning,EDM,D,20,0,5,5,10,10,17,0,0,0,0,0,40,15
Nick Seeler,MIN,D,4,0,0,0,-3,6,2,0,0,0,0,0,2,6
David Backes,BOS,RW,8,0,1,1,-1,16,13,0,0,0,0,0,14,2
Loui Eriksson,VAN,RW,9,0,0,0,-3,2,9,0,0,0,0,0,0,4
Blake Comeau,DAL,LW,5,0,0,0,-1,6,9,0,0,0,0,0,8,0
Joe Thornton,SJ,C,19,0,6,6,-7,18,20,0,0,1,0,0,5,6
Dan Hamhuis,NSH,D,16,0,1,1,4,13,10,0,0,0,0,0,23,10
Alexander Steen,STL,LW,17,0,5,5,2,4,22,0,0,0,0,0,5,21
Trevor Daley,DET,D,11,0,0,0,-4,6,10,0,0,0,0,0,1,10
Andy Greene,NJ,D,13,0,4,4,6,4,10,0,0,0,0,0,4,29
Frans Nielsen,DET,C,16,0,0,0,-6,2,22,0,0,0,0,0,11,9
Chris Stewart,PHI,RW,8,0,1,1,-2,12,2,0,0,0,0,0,21,2
Kris Russell,EDM,D,20,0,3,3,5,6,14,0,0,0,0,0,31,47
Milan Lucic,CGY,LW,19,0,3,3,-5,30,24,0,0,1,0,0,49,5
Andrew Cogliano,DAL,LW,19,0,2,2,1,10,17,0,0,0,0,0,25,5
Jack Johnson,PIT,D,17,0,2,2,4,4,11,0,0,0,0,0,43,18
Brad Richardson,ARI,C,12,0,2,2,7,4,16,0,0,0,0,0,15,8
Justin Abdelkader,DET,LW,16,0,3,3,1,4,15,0,0,0,0,0,29,10
Zack Smith,CHI,C,11,0,2,2,1,4,9,0,0,0,0,0,29,5
T.J. Brodie,CGY,D,21,0,8,8,0,14,22,0,0,1,0,0,4,29
Jason Demers,ARI,D,17,0,3,3,0,6,17,0,0,0,0,1,23,24
Luca Sbisa,WPG,D,7,0,0,0,0,2,5,0,0,0,0,0,17,10
Jordan Eberle,NYI,RW,7,0,4,4,1,2,16,0,0,2,0,0,3,5
Luke Schenn,TB,D,3,0,0,0,-2,0,2,0,0,0,0,0,9,3
Colin Wilson,COL,LW,9,0,4,4,6,0,12,0,0,0,0,0,8,2
Mikkel Boedker,OTT,LW,5,0,1,1,1,0,4,0,0,0,0,0,1,1
Tyler Myers,VAN,D,19,0,4,4,-2,14,40,0,0,0,0,0,23,23
Cody Goloubef,OTT,D,1,0,0,0,-1,0,0,0,0,0,0,0,4,1
Aaron Ness,ARI,D,8,0,1,1,5,0,6,0,0,0,0,0,3,5
Mark Barberio,COL,D,7,0,0,0,3,8,10,0,0,0,0,0,4,9
Ian Cole,COL,D,13,0,7,7,10,16,12,0,0,0,0,0,17,22
Yannick Weber,NSH,D,13,0,0,0,-1,2,8,0,0,0,0,0,11,8
Anton Stralman,FLA,D,18,0,6,6,-4,2,21,0,0,0,0,1,21,27
Roman Polak,DAL,D,1,0,0,0,0,0,0,0,0,0,0,0,2,2
Andrej Sekera,DAL,D,15,0,1,1,1,6,18,0,0,0,0,0,8,27
Jordie Benn,VAN,D,19,0,2,2,6,6,18,0,0,0,0,0,18,25
Brenden Dillon,SJ,D,19,0,3,3,-6,21,23,0,0,0,0,1,62,15
Dalton Prout,SJ,D,1,0,0,0,0,0,1,0,0,0,0,0,2,1
Robert Bortuzzo,STL,D,7,0,0,0,-1,2,2,0,0,0,0,0,13,9
Taylor Fedun,DAL,D,16,0,6,6,5,4,22,0,0,0,0,0,9,14
Logan Shaw,WPG,RW,5,0,0,0,-2,0,3,0,0,0,0,0,6,3
Andy Andreoff,PHI,C,3,0,0,0,0,0,8,0,0,0,0,0,6,1
