,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,Jonathan Huberdeau\huberjo01,C,FLA,,DET,W,boxscore,2,1,3,2,0,2,0,0,0,0,1,0,8,25.0,24,15:39,0,0,1,0,100.0
2,Kyle Connor\connoky01,LW,WPG,@,VEG,W,boxscore,1,2,3,1,0,1,0,0,1,1,1,0,2,50.0,30,22:26,0,1,0,0,
3,David Pastrnak\pastrda01,RW,BOS,,OTT,W,boxscore,1,2,3,0,0,0,1,0,0,1,1,0,3,33.3,20,16:56,0,0,0,0,
4,Denis Gurianov\guriade01,RW,DAL,,MTL,W,boxscore,2,0,2,2,0,1,1,0,1,0,0,0,7,28.6,24,14:08,2,1,0,0,
5,Mathieu Perreault\perrema01,C,WPG,@,VEG,W,boxscore,2,0,2,0,0,1,1,0,0,0,0,0,3,66.7,19,12:26,1,0,0,0,
6,Elias Pettersson\petteel01,C,VAN,@,SJS,W,boxscore,2,0,2,0,0,1,1,0,0,0,0,0,3,66.7,17,15:15,0,1,0,0,
7,Aleksander Barkov\barkoal01,C,FLA,,DET,W,boxscore,1,1,2,2,0,0,1,0,0,1,0,0,4,25.0,27,16:45,0,1,11,9,55.0
8,Danton Heinen\heineda01,C/LW,BOS,,OTT,W,boxscore,1,1,2,2,0,1,0,0,1,1,0,0,3,33.3,21,16:34,0,0,0,0,
9,Kasperi Kapanen\kapanka01,RW,TOR,@,PHI,W,boxscore,1,1,2,2,2,1,0,0,0,1,0,0,1,100.0,24,14:51,1,0,0,0,
10,Jake Virtanen\virtaja01,RW,VAN,@,SJS,W,boxscore,1,1,2,2,2,1,0,0,1,1,0,0,4,25.0,18,11:59,1,1,0,0,
11,Miles Wood\woodmi01,LW,NJD,@,CAR,W,boxscore,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,16,13:19,1,0,0,0,
12,Patrice Bergeron\bergepa01,C,BOS,,OTT,W,boxscore,1,1,2,1,0,1,0,0,0,0,1,0,5,20.0,23,19:06,0,0,11,4,73.3
13,Phil Kessel\kesseph01,RW,ARI,,COL,W,boxscore,1,1,2,1,0,1,0,0,0,0,1,0,3,33.3,23,17:10,0,0,0,0,
14,Ryan O'Reilly\oreilry01,C,STL,@,MIN,W,boxscore,1,1,2,1,0,1,0,0,1,1,0,0,2,50.0,23,21:08,1,1,9,9,50.0
15,Ivan Provorov\provoiv01,D,PHI,,TOR,L-SO,boxscore,1,1,2,1,0,0,1,0,0,0,1,0,7,14.3,32,28:06,1,1,0,0,
16,Jason Spezza\spezzja01,C,TOR,@,PHI,W,boxscore,1,1,2,1,4,1,0,0,0,1,0,0,2,50.0,18,12:55,0,1,3,2,60.0
17,Claude Giroux\giroucl01,C/RW,PHI,,TOR,L-SO,boxscore,1,1,2,0,2,0,1,0,0,0,1,0,4,25.0,24,19:45,1,0,13,4,76.5
18,Erik Haula\haulaer01,LW,CAR,,NJD,L,boxscore,1,1,2,0,0,1,0,0,0,0,1,0,1,100.0,21,16:08,0,0,8,9,47.1
19,Brad Marchand\marchbr03,LW,BOS,,OTT,W,boxscore,1,1,2,0,6,0,1,0,0,1,0,0,2,50.0,22,16:28,1,0,2,0,100.0
20,Mark Borowiecki\borowma01,D,OTT,@,BOS,L,boxscore,0,2,2,2,6,0,0,0,0,2,0,0,2,0.0,24,15:10,3,1,0,0,
21,Elias Lindholm\lindhel01,C,CGY,@,CBJ,W,boxscore,0,2,2,2,0,0,0,0,0,2,0,0,0,,26,19:18,0,1,4,5,44.4
22,Brock Boeser\boesebr01,RW,VAN,@,SJS,W,boxscore,0,2,2,1,0,0,0,0,0,1,1,0,1,0.0,18,15:55,0,0,0,0,
23,Dustin Brown\browndu01,RW,LAK,,CHI,W,boxscore,0,2,2,1,0,0,0,0,0,2,0,0,5,0.0,22,18:50,2,0,0,0,
24,Tyler Toffoli\toffoty01,C,LAK,,CHI,W,boxscore,0,2,2,1,0,0,0,0,0,2,0,0,4,0.0,19,17:23,0,0,0,0,
25,Keith Yandle\yandlke01,D,FLA,,DET,W,boxscore,0,2,2,1,0,0,0,0,0,1,1,0,0,,19,16:46,1,0,0,0,
26,Bo Horvat\horvabo01,C,VAN,@,SJS,W,boxscore,0,2,2,0,0,0,0,0,0,2,0,0,0,,20,14:37,0,2,3,8,27.3
27,William Karlsson\karlswi01,C,VEG,,WPG,L-OT,boxscore,0,2,2,0,0,0,0,0,0,1,1,0,2,0.0,28,21:42,0,0,13,8,61.9
28,Jakub Voracek\voracja01,RW,PHI,,TOR,L-SO,boxscore,0,2,2,-1,0,0,0,0,0,0,2,0,1,0.0,21,15:39,0,1,0,0,
29,Michael Amadio\amadimi01,C,LAK,,CHI,W,boxscore,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,18,15:54,0,0,3,3,50.0
30,Kyle Clifford\cliffky01,LW,LAK,,CHI,W,boxscore,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,17,12:11,0,0,0,0,
31,Jake Debrusk\debruja01,LW,BOS,,OTT,W,boxscore,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,20,17:36,0,1,0,1,0.0
32,Matt Roy\royma04,D,LAK,,CHI,W,boxscore,1,0,1,2,0,1,0,0,0,0,0,0,5,20.0,17,12:26,0,3,0,0,
33,Brandon Sutter\suttebr03,C/RW,VAN,@,SJS,W,boxscore,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,25,16:53,1,0,6,4,60.0
34,Sam Bennett\bennesa01,C,CGY,@,CBJ,W,boxscore,1,0,1,1,2,1,0,0,0,0,0,0,3,33.3,20,14:46,2,0,2,1,66.7
35,Sammy Blais\blaissa01,LW,STL,@,MIN,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,16,12:43,3,1,0,0,
36,Derick Brassard\brassde01,C,NYI,@,BUF,W,boxscore,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,21,14:00,0,0,0,0,
37,Colby Cave\caveco01,C,EDM,@,PIT,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,20,11:41,2,0,8,6,57.1
38,Filip Chytil\chytifi01,C,NYR,@,NSH,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,19,16:34,0,1,3,3,50.0
39,Brett Connolly\connobr01,RW,FLA,,DET,W,boxscore,1,0,1,1,2,1,0,0,1,0,0,0,4,25.0,18,12:58,1,0,0,0,
40,Anthony Duclair\duclaan01,LW,OTT,@,BOS,L,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,25,16:45,0,2,0,0,
41,Brian Dumoulin\dumoubr01,D,PIT,,EDM,L-OT,boxscore,1,0,1,1,0,0,0,1,0,0,0,0,4,25.0,27,23:08,1,0,0,0,
42,Christian Dvorak\dvorach01,C,ARI,,COL,W,boxscore,1,0,1,1,0,0,1,0,1,0,0,0,4,25.0,23,17:10,0,0,6,5,54.5
43,Kevin Fiala\fialake01,LW,MIN,,STL,L-OT,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,16,13:09,0,0,0,0,
44,Conor Garland\garlaco01,RW,ARI,,COL,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,15,10:51,0,0,0,0,
45,Adam Gaudette\gaudead01,C,VAN,@,SJS,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,18,13:56,1,0,0,1,0.0
46,Carl Gunnarsson\gunnaca01,D,STL,@,MIN,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,20,14:26,1,1,0,0,
47,Miro Heiskanen\heiskmi01,D,DAL,,MTL,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,32,25:00,0,1,0,0,
48,Artturi Lehkonen\lehkoar01,LW,MTL,@,DAL,L,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,20,13:01,0,2,0,0,
49,Mitch Marner\marnemi01,RW,TOR,@,PHI,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,29,21:47,1,0,0,2,0.0
50,Sean Monahan\monahse01,C,CGY,@,CBJ,W,boxscore,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,24,17:59,1,1,6,4,60.0
51,Max Pacioretty\pacioma01,LW,VEG,,WPG,L-OT,boxscore,1,0,1,1,2,1,0,0,0,0,0,0,3,33.3,23,17:34,1,1,0,0,
52,Alexander Radulov\radulal01,RW,DAL,,MTL,W,boxscore,1,0,1,1,4,0,1,0,0,0,0,0,3,33.3,26,13:55,0,1,0,0,
53,Ryan Strome\stromry01,C,NYR,@,NSH,W,boxscore,1,0,1,1,2,1,0,0,1,0,0,0,4,25.0,24,20:33,0,0,4,8,33.3
54,P.K. Subban\subbapk01,D,NJD,@,CAR,W,boxscore,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,30,22:55,1,1,0,0,
55,Matthew Tkachuk\tkachma01,LW,CGY,@,CBJ,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,6,16.7,22,16:26,0,0,0,0,
56,Jonathan Toews\toewsjo01,C,CHI,@,LAK,L-OT,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,28,22:01,0,0,8,11,42.1
57,Marc-Edouard Vlasic\vlasima01,D,SJS,,VAN,L,boxscore,1,0,1,1,0,0,0,1,0,0,0,0,2,50.0,23,17:02,0,2,0,0,
58,Connor Brown\brownco02,RW,OTT,@,BOS,L,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,31,22:05,0,0,1,1,50.0
59,Drew Doughty\doughdr01,D,LAK,,CHI,W,boxscore,1,0,1,0,0,1,0,0,1,0,0,0,4,25.0,29,28:43,1,0,0,0,
60,Leon Draisaitl\draisle01,C,EDM,@,PIT,W,boxscore,1,0,1,0,0,1,0,0,1,0,0,0,3,33.3,24,23:27,0,0,7,8,46.7
61,Marcus Foligno\foligma01,LW,MIN,,STL,L-OT,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,23,17:19,5,1,0,0,
62,Nico Hischier\hischni01,C,NJD,@,CAR,W,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,23,16:17,1,1,11,7,61.1
63,Jack Hughes\hugheja03,C,NJD,@,CAR,W,boxscore,1,0,1,0,0,0,1,0,0,0,0,0,4,25.0,17,15:01,0,0,3,5,37.5
64,David Kampf\kampfda01,C,CHI,@,LAK,L-OT,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,18,15:48,0,0,3,5,37.5
65,Dominik Kubalik\kubaldo01,LW,CHI,@,LAK,L-OT,boxscore,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,12,13:50,2,0,0,0,
66,Mackenzie MacEachern\maceama01,LW,STL,@,MIN,W,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,13,10:04,0,2,0,0,
67,Mark Scheifele\scheima01,C,WPG,@,VEG,W,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,28,22:32,1,0,7,16,30.4
68,Nate Schmidt\schmina01,D,VEG,,WPG,L-OT,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,27,23:16,1,3,0,0,
69,Damon Severson\severda01,D,NJD,@,CAR,W,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,28,21:24,1,0,0,0,
70,Warren Foegele\foegewa01,LW,CAR,,NJD,L,boxscore,1,0,1,-1,2,1,0,0,0,0,0,0,1,100.0,19,10:30,0,0,0,1,0.0
71,Evander Kane\kaneev01,LW,SJS,,VAN,L,boxscore,1,0,1,-1,0,1,0,0,0,0,0,0,5,20.0,22,17:19,4,1,0,2,0.0
72,Jonathan Marchessault\audymjo01,C,VEG,,WPG,L-OT,boxscore,1,0,1,-1,0,0,1,0,0,0,0,0,3,33.3,26,21:11,1,0,0,0,
